YEAR,BANAME,BACODE,NAMEPCAP,BAHTIAN,BAHTIOZ,BAHTIANT,BAHTIOZT,BANGENAN,BANGENOZ,BANOXAN,BANOXOZ,BASO2AN,BACO2AN,BACH4AN,BAN2OAN,BACO2EQA,BAHGAN,BANOXRTA,BANOXRTO,BASO2RTA,BACO2RTA,BACH4RTA,BAN2ORTA,BAC2ERTA,BAHGRTA,BANOXRA,BANOXRO,BASO2RA,BACO2RA,BACH4RA,BAN2ORA,BAC2ERA,BAHGRA,BANOXCRT,BANOXCRO,BASO2CRT,BACO2CRT,BACH4CRT,BAN2OCRT,BAHGCRT,BACNOXRT,BAONOXRT,BAGNOXRT,BAFSNXRT,BACNXORT,BAONXORT,BAGNXORT,BAFSNORT,BACSO2RT,BAOSO2RT,BAGSO2RT,BAFSS2RT,BACCO2RT,BAOCO2RT,BAGCO2RT,BAFSC2RT,BACCH4RT,BAOCH4RT,BAGCH4RT,BAFCH4RT,BACN2ORT,BAON2ORT,BAGN2ORT,BAFN2ORT,BACC2ERT,BAOC2ERT,BAGC2ERT,BAFSC2ERT,BACHGRT,BAFSHGRT,BACNOXR,BAONOXR,BAGNOXR,BAFSNXR,BACNXOR,BAONXOR,BAGNXOR,BAFSNOR,BACSO2R,BAOSO2R,BAGSO2R,BAFSS2R,BACCO2R,BAOCO2R,BAGCO2R,BAFSC2R,BACCH4R,BAOCH4R,BAGCH4R,BAFCH4R,BACN2OR,BAON2OR,BAGN2OR,BAFN2OR,BACC2ER,BAOC2ER,BAGC2ER,BAFSC2ER,BACHGR,BAFSHGR,BANBNOX,BANBNXO,BANBSO2,BANBCO2,BANBCH4,BANBN2O,BANBC2E,BANBHG,BAGENACL,BAGENAOL,BAGENAGS,BAGENANC,BAGENAHY,BAGENABM,BAGENAWI,BAGENASO,BAGENAGT,BAGENAOF,BAGENAOP,BAGENATN,BAGENATR,BAGENATH,BAGENACY,BAGENACN,BACLPR,BAOLPR,BAGSPR,BANCPR,BAHYPR,BABMPR,BAWIPR,BASOPR,BAGTPR,BAOFPR,BAOPPR,BATNPR,BATRPR,BATHPR,BACYPR,BACNPR,BANBGNCL,BANBGNOL,BANBGNGS,BANBGNNC,BANBGNHY,BANBGNBM,BANBGNWI,BANBGNSO,BANBGNGT,BANBGNOF,BANBGNOP,BANBCLPR,BANBOLPR,BANBGSPR,BANBNCPR,BANBHYPR,BANBBMPR,BANBWIPR,BANBSOPR,BANBGTPR,BANBOFPR,BANBOPPR
2018,Alcoa Power Generating Inc. - Yadkin Division,YAD,215,0,0,9749460,3736068,1069254,409746,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,,,,,,,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,--,0,0,0,0,1069254,0,0,0,0,0,0,0,1069254,0,0,1069254,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Anchorage Municipal Light & Power,AMPL,595,7893436,3301803,9426308,3953187,1083328,472529,1194,500,19,436403,16467,1648,436854,--,2.205,2.116,0.035,805.671,0.015,0.002,806.504,--,0.303,0.303,0.005,110.574,0.002086199,0,110.688,--,2.61,2.505,0.042,953.664,0.018,0.002,--,0,0,2.738,2.738,0,0,2.608,2.608,0,0,0.027,0.027,0,0,1000.241,1000.241,0,0,0.019,0.019,0,0,0.002,0.002,0,0,1001.275,1001.275,--,--,0,0,0.32,0.32,0,0,0.32,0.32,0,0,0.003,0.003,0,0,116.892,116.892,0,0,0.002,0.002,0,0,0,0,0,0,117.013,117.013,--,--,2.655,2.534,0.037,970.206,0.018,0.002,971.21,--,0,119,872410,0,168115,42684,0,0,0,0,0,872529,210799,42684,915213,168115,0,0,0.805,0,0.155,0.039,0,0,0,0,0,0.805,0.195,0.039,0.845,0.155,0,0,829660,0,0,26748,0,0,0,0,0,0,0,0.969,0,0,0.031,0,0,0,0,0
2018,Arizona Public Service Company,AZPS,9571,156980357,77990835,177608337,89077153,17517674,8715590,9774,4757,3377,14548923,2932054,419803,14648125,--,1.116,1.092,0.386,1661.057,0.167,0.024,1672.382,--,0.125,0.122,0.043,185.36,0.018677843,0.003,186.624,--,1.281,1.253,0.443,1907.388,0.192,0.028,--,1.581,24.496,0.352,1.262,1.578,24.566,0.375,1.253,0.597,14.057,0.004,0.443,2319.324,4544.156,842.739,1935.149,0.237,0.184,0.02,0.181,0.034,0.037,0.002,0.026,2335.532,4559.73,843.856,1947.431,--,--,0.14,0.88,0.05,0.124,0.137,0.881,0.053,0.121,0.053,0.505,0.001,0.043,205.199,163.326,118.839,189.587,0.021,0.007,0.003,0.018,0.003,0.001,0,0.003,206.633,163.885,118.997,190.79,--,--,1.205,1.197,0.415,1859.662,0.171,0.024,1871.225,--,11078066,5823,3951954,0,0,219495,350649,1911687,0,0,0,15035843,2481830,2481830,15255338,2262336,0.632,0,0.226,0,0,0.013,0.02,0.109,0,0,0,0.858,0.142,0.142,0.871,0.129,7902629,141,3596165,0,0,16620,0,0,0,0,0,0.686,0,0.312,0,0,0.001,0,0,0,0,0
2018,Arlington Valley LLC - AVBA,DEAA,713,15413164,11760659,15413164,11760659,2120507,1618528,59,43,5,915981,34289,3429,916921,--,0.056,0.053,0.004,863.927,0.016,0.002,864.813,--,0.008,0.007,0.001,118.857,0.002224686,0,118.979,--,0.056,0.053,0.004,863.927,0.016,0.002,--,0,0,0.056,0.056,0,0,0.053,0.053,0,0,0.004,0.004,0,0,863.927,863.927,0,0,0.016,0.016,0,0,0.002,0.002,0,0,864.813,864.813,--,--,0,0,0.008,0.008,0,0,0.007,0.007,0,0,0.001,0.001,0,0,118.857,118.857,0,0,0.002,0.002,0,0,0,0,0,0,118.979,118.979,--,--,0.056,0.053,0.004,863.927,0.016,0.002,864.813,--,0,0,2120507,0,0,0,0,0,0,0,0,2120507,0,0,2120507,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1627472,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,Associated Electric Cooperative Inc.,AECI,6615,218666528,98498489,230595380,102842302,25827820,11242659,24684,3546,31087,19905914,3883125,558281,20037637,--,1.911,0.631,2.407,1541.432,0.15,0.022,1551.632,--,0.226,0.072,0.284,182.066,0.017758205,0.003,183.271,--,2.016,0.665,2.539,1625.542,0.159,0.023,--,3.073,33.6,0.126,2.017,1.035,34.071,0.126,0.659,3.956,2.997,0.005,2.54,2035.014,1688.542,895.57,1626.58,0.238,0.068,0.016,0.159,0.035,0.014,0.002,0.023,2051.292,1694.323,896.465,1637.344,--,--,0.317,3.25,0.017,0.226,0.102,3.242,0.016,0.072,0.408,0.29,0.001,0.285,209.752,163.325,118.845,182.24,0.025,0.007,0.002,0.018,0.004,0.001,0,0.003,211.43,163.884,118.963,183.446,--,--,1.129,0.352,1.224,1257.357,0.086,0.012,1263.084,--,15692794,10187,8772806,0,48517,15627,1285032,2857,0,0,0,24475787,1352033,1303516,24491414,1336406,0.608,0,0.34,0,0.002,0.001,0.05,0,0,0,0,0.948,0.052,0.05,0.948,0.052,2001890,375,4355847,0,0,9221,0,0,0,0,0,0.314,0,0.684,0,0,0.001,0,0,0,0,0
2018,Avangrid Renewables LLC,AVRN,1506,0,0,27188851,14118538,2981888,1548426,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,,,,,,,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,2974939,6949,0,0,0,0,2981888,2981888,0,2981888,0,0,0,0,0,0,0.998,0.002,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Avista Corporation,AVA,2420,23157470,9168282,71767674,30837321,8004577,3378405,1672,775,501,924903,610469,84632,945144,--,0.418,0.459,0.125,231.094,0.076,0.011,236.151,--,0.144,0.169,0.043,79.879,0.02636163,0.004,81.628,--,1.251,1.374,0.375,691.945,0.228,0.032,--,0,38.525,0.782,0.789,0,37.399,1.214,1.221,0,1.522,0.005,0.005,0,1850.555,875.294,875.479,0,0.052,0.017,0.017,0,0.009,0.002,0.002,0,1854.442,876.225,876.411,--,--,0,2.868,0.106,0.107,0,2.883,0.154,0.155,0,0.113,0.001,0.001,0,137.786,118.788,118.795,0,0.004,0.002,0.002,0,0.001,0,0,0,138.075,118.914,118.921,--,--,1.752,2.383,0.58,706.251,0.172,0.026,718.235,--,0,131,1830228,0,5002856,843152,327172,1207,0,0,-169,1830190,6174387,1171531,2673342,5331235,0,0,0.229,0,0.625,0.105,0.041,0,0,0,0,0.229,0.771,0.146,0.334,0.666,0,339,714816,0,0,403438,0,0,0,0,0,0,0,0.639,0,0,0.361,0,0,0,0,0
2018,Balancing Authority of Northern California,BANC,2800,47825273,19633911,62036528,27087049,7971045,3418722,191,81,37,2751698,101418,10160,2754480,--,0.048,0.047,0.009,690.423,0.013,0.001,691.121,--,0.008,0.008,0.002,115.073,0.002120602,0,115.189,--,0.06,0.059,0.012,858.236,0.016,0.002,--,0,10.931,0.069,0.06,0,11.632,0.071,0.063,0,4.741,0.005,0.007,0,2545.184,902.063,867.618,0,0.081,0.017,0.016,0,0.014,0.002,0.002,0,2551.474,903.004,868.495,--,--,0,0.602,0.009,0.008,0,0.64,0.009,0.008,0,0.261,0.001,0.001,0,140.111,118.374,117.388,0,0.004,0.002,0.002,0,0.001,0,0,0,140.457,118.498,117.507,--,--,0.08,0.086,0.01,900.699,0.017,0.002,901.64,--,0,1522,6276126,0,1279631,134803,0,278963,0,0,0,6277648,1693397,413766,6412451,1558594,0,0,0.787,0,0.161,0.017,0,0.035,0,0,0,0.788,0.212,0.052,0.804,0.196,0,2960,2067300,0,0,0,0,0,0,384892,0,0,0.001,0.842,0,0,0,0,0,0,0.157,0
2018,Bonneville Power Administration,BPAT,32610,129963116,63126710,1056896917,451398894,114850658,49289197,8515,3648,2630,10006659,1819981,267779,10069307,--,0.148,0.148,0.046,174.255,0.016,0.002,175.346,--,0.131,0.116,0.04,153.992,0.014003829,0.002,154.956,--,1.168,1.166,0.361,1372.105,0.125,0.018,--,2.308,0,0.479,1.232,2.272,0,0.356,1.036,0.568,0,0.008,0.239,2484.322,0,855.94,1526.723,0.27,0,0.016,0.121,0.039,0,0.002,0.017,2502.791,0,856.834,1534.857,--,--,0.195,0,0.066,0.135,0.193,0,0.049,0.117,0.048,0,0.001,0.026,209.76,0,118.478,167.271,0.023,0,0.002,0.013,0.003,0,0,0.002,211.319,0,118.601,168.162,--,--,1.173,0.995,0.399,1490.822,0.131,0.02,1499.915,--,5382866,15488,7791976,9708441,82942803,1396209,7393829,136620,83112,0,-686,22898085,91952573,9009770,14585853,100264805,0.047,0,0.068,0.085,0.722,0.012,0.064,0.001,0.001,0,0,0.199,0.801,0.078,0.127,0.873,4080337,0,4783600,0,0,749315,0,0,0,0,0,0.424,0,0.498,0,0,0.078,0,0,0,0,0
2018,California Independent System Operator,CISO,93275,615097128,278262034,1435135757,697169108,167338195,80790639,35073,15132,2163,33427179,4488014,551656,33565341,--,0.419,0.375,0.026,399.516,0.027,0.003,401.168,--,0.114,0.109,0.007,108.689,0.007296431,0.001,109.138,--,0.873,0.78,0.054,831.694,0.056,0.007,--,1.198,8.359,0.712,0.732,1.241,8.62,0.692,0.712,0.002,0.511,0.008,0.009,1148.578,1923.928,850.611,853.022,0.129,0.016,0.016,0.017,0.019,0.003,0.002,0.002,1157.405,1925.241,851.503,853.945,--,--,0.215,0.863,0.099,0.101,0.217,0.874,0.094,0.097,0,0.053,0.001,0.001,206.001,198.546,117.636,118.146,0.023,0.002,0.002,0.002,0.003,0,0,0,207.584,198.681,117.759,118.274,--,--,0.826,0.77,0.025,869.068,0.042,0.005,871.643,--,281328,65676,73274849,18213519,19260807,5374540,13738658,27350664,8391185,919117,467853,93222343,74115853,54855046,80383364,86954832,0.002,0,0.438,0.109,0.115,0.032,0.082,0.163,0.05,0.005,0.003,0.557,0.443,0.328,0.48,0.52,128051,95071,41934848,0,0,1706742,0,0,0,0,0,0.003,0.002,0.956,0,0,0.039,0,0,0,0,0
