YEAR,NERC,NERCNAME,NAMEPCAP,NRHTIAN,NRHTIOZ,NRHTIANT,NRHTIOZT,NRNGENAN,NRNGENOZ,NRNOXAN,NRNOXOZ,NRSO2AN,NRCO2AN,NRCH4AN,NRN2OAN,NRCO2EQA,NRHGAN,NRNOXRTA,NRNOXRTO,NRSO2RTA,NRCO2RTA,NRCH4RTA,NRN2ORTA,NRC2ERTA,NRHGRTA,NRNOXRA,NRNOXRO,NRSO2RA,NRCO2RA,NRCH4RA,NRN2ORA,NRC2ERA,NRHGRA,NRNOXCRT,NRNOXCRO,NRSO2CRT,NRCO2CRT,NRCH4CRT,NRN2OCRT,NRHGCRT,NRCNOXRT,NRONOXRT,NRGNOXRT,NRFSNXRT,NRCNXORT,NRONXORT,NRGNXORT,NRFSNORT,NRCSO2RT,NROSO2RT,NRGSO2RT,NRFSS2RT,NRCCO2RT,NROCO2RT,NRGCO2RT,NRFSC2RT,NRCCH4RT,NROCH4RT,NRGCH4RT,NRFCH4RT,NRCN2ORT,NRON2ORT,NRGN2ORT,NRFN2ORT,NRCC2ERT,NROC2ERT,NRGC2ERT,NRFSC2ERT,NRCHGRT,NRFSHGRT,NRCNOXR,NRONOXR,NRGNOXR,NRFSNXR,NRCNXOR,NRONXOR,NRGNXOR,NRFSNOR,NRCSO2R,NROSO2R,NRGSO2R,NRFSS2R,NRCCO2R,NROCO2R,NRGCO2R,NRFSC2R,NRCCH4R,NROCH4R,NRGCH4R,NRFCH4R,NRCN2OR,NRON2OR,NRGN2OR,NRFN2OR,NRCC2ER,NROC2ER,NRGC2ER,NRFSC2ER,NRCHGR,NRFSHGR,NRNBNOX,NRNBNXO,NRNBSO2,NRNBCO2,NRNBCH4,NRNBN2O,NRNBC2E,NRNBHG,NRGENACL,NRGENAOL,NRGENAGS,NRGENANC,NRGENAHY,NRGENABM,NRGENAWI,NRGENASO,NRGENAGT,NRGENAOF,NRGENAOP,NRGENATN,NRGENATR,NRGENATH,NRGENACY,NRGENACN,NRCLPR,NROLPR,NRGSPR,NRNCPR,NRHYPR,NRBMPR,NRWIPR,NRSOPR,NRGTPR,NROFPR,NROPPR,NRTNPR,NRTRPR,NRTHPR,NRCYPR,NRCNPR,NRNBGNCL,NRNBGNOL,NRNBGNGS,NRNBGNNC,NRNBGNHY,NRNBGNBM,NRNBGNWI,NRNBGNSO,NRNBGNGT,NRNBGNOF,NRNBGNOP,NRNBCLPR,NRNBOLPR,NRNBGSPR,NRNBNCPR,NRNBHYPR,NRNBBMPR,NRNBWIPR,NRNBSOPR,NRNBGTPR,NRNBOFPR,NRNBOPPR
2018,ASCC,Alaska Systems Coordinating Council,3165,34539246,13898133,48760830,19896040,5319362,2182790,11340,4676,3067,2514657,407159,57021,2528243,--,4.264,4.284,1.153,945.473,0.077,0.011,950.581,--,0.657,0.673,0.178,145.612,0.012,0.002,146.398,--,6.032,6.061,1.631,1337.713,0.108,0.015,--,2.484,18.201,2.78,6.007,2.538,19.556,2.725,6.106,5.954,2.816,0.028,1.627,2179.98,1576.445,1018.366,1334.238,0.246,0.256,0.019,0.108,0.036,0.037,0.002,0.015,2196.84,1593.838,1019.419,1341.448,--,--,0.241,1.901,0.319,0.656,0.247,1.99,0.319,0.672,0.579,0.294,0.003,0.178,211.84,164.653,116.89,145.604,0.024,0.027,0.002,0.012,0.003,0.004,0,0.002,213.478,166.469,117.011,146.391,--,--,6.917,7.038,1.443,1356.83,0.116,0.016,1364.597,--,628564,797953,2332847,0,1456540,2790,103186,0,0,0,-2518,3756846,1562516,105976,3759636,1559726,0.118,0.15,0.438,0,0.274,0.001,0.019,0,0,0,0,0.706,0.294,0.02,0.706,0.293,410986,761859,1646378,0,0,0,0,0,0,0,0,0.146,0.27,0.584,0,0,0,0,0,0,0,0
2018,FRCC,Florida Reliability Coordinating Council,102369,1633195751,782317094,1973546859,920467922,233461835,108755763,41584,19846,32448,108778338,15492100,2071562,109280652,--,0.356,0.365,0.278,931.873,0.066,0.009,936.176,--,0.051,0.051,0.04,133.209,0.009,0.001,133.824,--,0.412,0.422,0.322,1078.311,0.077,0.01,--,0.807,2.337,0.207,0.327,0.852,2.835,0.218,0.337,1.425,0.996,0.032,0.309,1993.017,1154.467,870.979,1093.476,0.186,0.068,0.017,0.051,0.027,0.012,0.002,0.007,2005.708,1159.861,871.955,1096.776,--,--,0.076,0.269,0.028,0.041,0.077,0.194,0.029,0.042,0.135,0.115,0.004,0.039,188.688,132.758,119.396,137.666,0.018,0.008,0.002,0.006,0.003,0.001,0,0.001,189.889,133.378,119.53,138.081,--,--,0.415,0.425,0.37,1123.915,0.068,0.009,1128.326,--,27123676,2067368,164932332,29312349,232574,6147734,0,2160008,0,28549,1457245,224921519,8540316,8307742,201756904,31704931,0.116,0.009,0.706,0.126,0.001,0.026,0,0.009,0,0,0.006,0.963,0.037,0.036,0.864,0.136,29444119,59020,105066091,0,0,2276502,0,0,0,0,0,0.215,0,0.768,0,0,0.017,0,0,0,0,0
2018,HICC,Hawaiian Islands Coordinating Council,3135,91347062,39239208,98931047,42219316,9553749,4111571,22383,9951,33635,7412845,1530840,235534,7467070,--,4.686,4.841,7.041,1551.819,0.16,0.025,1563.171,--,0.49,0.507,0.736,162.301,0.017,0.003,163.488,--,5.132,5.302,7.713,1699.806,0.176,0.027,--,0.986,6.064,0,5.232,2.361,5.983,0,5.414,10.58,7.594,0,8.083,2338.064,1616.234,0,1734.483,0.271,0.095,0,0.124,0.039,0.017,0,0.02,2356.536,1623.597,0,1743.665,--,--,0.09,0.613,0,0.52,0.217,0.609,0,0.541,0.966,0.768,0,0.803,213.378,163.395,0,172.308,0.025,0.01,0,0.012,0.004,0.002,0,0.002,215.063,164.139,0,173.22,--,--,6.242,6.164,7.5,1658.178,0.15,0.024,1669.059,--,1311203,6748947,0,0,96520,416661,601934,23215,110089,55722,189458,8305330,1248419,1151899,8721991,831758,0.137,0.706,0,0,0.01,0.044,0.063,0.002,0.012,0.006,0.02,0.869,0.131,0.121,0.913,0.087,119343,4242707,0,0,0,262350,0,0,0,0,0,0.026,0.917,0,0,0,0.057,0,0,0,0,0
2018,MRO,Midwest Reliability Organization,176447,2915057646,1379873654,4442789366,1960201728,455122654,199533339,192204,88461,254855,269299999,54264284,7835334,271139570,--,0.845,0.887,1.12,1183.417,0.119,0.017,1191.501,--,0.132,0.128,0.175,184.765,0.019,0.003,186.027,--,1.312,1.377,1.74,1838.229,0.185,0.027,--,1.529,3.577,0.693,1.292,1.51,3.248,0.734,1.261,2.431,1.55,0.043,1.744,2204.954,1424.81,1030.703,1867.216,0.248,0.106,0.02,0.183,0.036,0.017,0.002,0.026,2221.913,1432.405,1031.847,1879.62,--,--,0.145,0.406,0.08,0.129,0.143,0.427,0.082,0.126,0.231,0.176,0.005,0.175,209.503,161.526,119.397,187.13,0.024,0.012,0.002,0.018,0.003,0.002,0,0.003,211.115,162.387,119.529,188.373,--,--,1.301,1.278,1.575,1721.45,0.16,0.023,1732.223,--,200465652,485648,86505623,34297157,18982179,4582210,107169538,1674345,0,476648,483614,322714343,132408271,113426092,292999395,162123219,0.44,0.001,0.19,0.075,0.042,0.01,0.235,0.004,0,0.001,0.001,0.709,0.291,0.249,0.644,0.356,82336508,375143,56337079,0,0,2277609,0,0,0,71219,0,0.582,0.003,0.398,0,0,0.016,0,0,0,0.001,0
2018,NA,No NERC region,790,6925813,2557004,10763353,4244100,1167962,496695,8027,3368,39,318764,71108,9135,321014,--,13.746,13.561,0.066,545.847,0.061,0.008,549.7,--,2.318,2.634,0.011,92.051,0.01,0.001,92.701,--,21.49,21.2,0.104,853.352,0.095,0.012,--,0,32.815,24.064,24.181,0,32.816,24.064,24.187,0,2.899,0.028,0.066,0,1632.687,1014.167,1022.41,0,0.066,0.019,0.02,0,0.013,0.002,0.002,0,1638.281,1015.215,1023.518,--,--,0,3.283,2.774,2.781,0,3.283,2.774,2.782,0,0.29,0.003,0.008,0,163.326,116.889,117.601,0,0.007,0.002,0.002,0,0.001,0,0,0,163.885,117.01,117.728,--,--,22.253,22.42,0.111,862.326,0.067,0.009,866.558,--,0,8267,615055,0,207685,124891,51829,161361,0,0,-1126,622196,545766,338081,747087,420875,0,0.007,0.526,0,0.178,0.107,0.044,0.138,0,0,0,0.532,0.467,0.289,0.639,0.36,0,8304,399185,0,0,77947,0,0,0,0,0,0,0.017,0.822,0,0,0.161,0,0,0,0,0
2018,NPCC,Northeast Power Coordinating Council,99590,994688126,479338826,2193016259,973879568,237953648,106237013,36039,15409,12885,55178259,12436014,1623026,55561029,--,0.303,0.29,0.108,463.773,0.052,0.007,466.99,--,0.072,0.064,0.026,110.946,0.013,0.002,111.715,--,0.609,0.583,0.218,932.753,0.105,0.014,--,2.195,1.861,0.287,0.379,2.045,1.311,0.285,0.338,3.916,1.572,0.038,0.157,2317.672,1437.673,899.952,942.455,0.266,0.04,0.017,0.022,0.039,0.007,0.002,0.003,2335.889,1440.649,900.929,943.766,--,--,0.195,0.17,0.038,0.049,0.183,0.115,0.037,0.043,0.348,0.144,0.005,0.02,206.132,131.585,119.198,121.759,0.024,0.004,0.002,0.003,0.003,0.001,0,0,207.753,131.857,119.327,121.928,--,--,0.556,0.473,0.285,997.033,0.061,0.008,1000.843,--,1727281,2835717,102395610,74303762,36305497,11102277,7532884,1498764,0,160755,91100,181514225,56439422,20133925,118312741,119640907,0.007,0.012,0.43,0.312,0.153,0.047,0.032,0.006,0,0.001,0,0.763,0.237,0.085,0.497,0.503,1570964,4165985,59503260,0,0,3141651,0,0,0,0,0,0.023,0.061,0.87,0,0,0.046,0,0,0,0,0
2018,RFC,Reliability First Corporation,329763,5676865746,2560362189,8980196188,3941862725,936090040,409440878,310559,112101,380327,487060233,94173597,13448961,490238347,--,0.664,0.548,0.813,1040.627,0.101,0.014,1047.417,--,0.109,0.088,0.134,171.595,0.017,0.002,172.714,--,1.007,0.831,1.233,1579.255,0.153,0.022,--,1.43,1.792,0.241,0.92,1.224,1.495,0.246,0.789,2.186,1.464,0.021,1.246,2155.918,1618.417,883.323,1601.252,0.248,0.045,0.017,0.146,0.036,0.008,0.002,0.021,2172.86,1621.78,884.266,1611.167,--,--,0.137,0.168,0.032,0.1,0.116,0.143,0.032,0.085,0.209,0.137,0.003,0.136,206.014,151.491,118.817,174.826,0.024,0.004,0.002,0.016,0.003,0.001,0,0.002,207.633,151.806,118.944,175.909,--,--,1.15,0.938,1.322,1655.954,0.154,0.022,1666.356,--,328815997,4428102,266602393,279124445,10133444,10649638,27791992,2212556,0,6058404,268236,885297577,50787629,40654185,616822769,319262437,0.351,0.005,0.285,0.298,0.011,0.011,0.03,0.002,0,0.006,0,0.946,0.054,0.043,0.659,0.341,159937307,5070079,115841736,0,0,3087363,0,0,0,244638,0,0.563,0.018,0.408,0,0,0.011,0,0,0,0.001,0
2018,SERC,SERC Reliability Corporation,384428,7028261855,3344569100,10600438031,4858699147,1138226928,518644499,331503,138447,415127,566925946,98976010,14304833,570246411,--,0.582,0.534,0.729,996.156,0.087,0.013,1001.991,--,0.094,0.083,0.118,161.327,0.014,0.002,162.272,--,0.837,0.767,1.048,1430.946,0.125,0.018,--,1.36,1.057,0.326,0.827,1.154,0.833,0.342,0.734,1.973,6.79,0.025,1.01,2114.556,1096.039,887.562,1473.596,0.232,0.173,0.018,0.121,0.034,0.027,0.002,0.017,2130.404,1108.459,888.578,1481.775,--,--,0.129,0.179,0.044,0.093,0.11,0.158,0.044,0.081,0.188,1.147,0.003,0.113,201.16,185.211,118.658,165.416,0.022,0.029,0.002,0.014,0.003,0.005,0,0.002,202.667,187.31,118.794,166.334,--,--,0.877,0.817,0.957,1452.816,0.121,0.017,1460.91,--,332607481,6993197,423502352,289841806,40832458,24620814,4674578,10498923,0,3550083,1105234,1057600154,80626773,39794315,792379162,345847765,0.292,0.006,0.372,0.255,0.036,0.022,0.004,0.009,0,0.003,0.001,0.929,0.071,0.035,0.696,0.304,181495651,5183473,198681754,0,0,9265842,0,0,0,1747794,0,0.458,0.013,0.501,0,0,0.023,0,0,0,0.004,0
2018,TRE,Texas Regional Entity,167361,2450136817,1243891313,3558967416,1708802395,408182664,195334311,111669,54321,170744,190262412,27130568,3807300,191168832,--,0.547,0.556,0.837,932.242,0.066,0.009,936.683,--,0.091,0.087,0.139,155.308,0.011,0.002,156.047,--,0.763,0.775,1.166,1299.382,0.093,0.013,--,1.254,3.648,0.531,0.761,1.222,3.906,0.53,0.737,3.576,10.213,0.007,1.173,2242.21,2274.302,860.699,1306.428,0.252,0.057,0.016,0.093,0.037,0.01,0.002,0.013,2259.46,2278.554,861.564,1312.616,--,--,0.117,0.261,0.073,0.091,0.113,0.269,0.071,0.087,0.333,0.73,0.001,0.14,208.65,162.483,118.588,156.251,0.023,0.004,0.002,0.011,0.003,0.001,0,0.002,210.256,162.787,118.708,156.991,--,--,0.805,0.768,1.108,1266.737,0.084,0.012,1272.31,--,93161471,114455,196343287,41185739,922405,984441,70053101,3170904,0,1796092,450771,333051814,75130851,74208446,292850516,115332149,0.228,0,0.481,0.101,0.002,0.002,0.172,0.008,0,0.004,0.001,0.816,0.184,0.182,0.717,0.283,40899530,154932,101810271,0,0,275093,0,0,0,1989181,0,0.282,0.001,0.702,0,0,0.002,0,0,0,0.014,0
2018,WECC,Western Electricity Coordinating Council,294589,3604135200,1654951738,6873892491,3136594643,743291275,339419069,224210,99555,103047,286350440,49829144,7034109,288021204,--,0.603,0.587,0.277,770.493,0.067,0.009,774.989,--,0.124,0.12,0.057,158.901,0.014,0.002,159.828,--,1.138,1.106,0.523,1452.817,0.126,0.018,--,1.859,3.026,0.548,1.099,1.884,3.485,0.548,1.069,1.17,9.881,0.01,0.507,2284.77,1817.718,916.617,1483.689,0.256,0.042,0.017,0.116,0.037,0.008,0.002,0.016,2302.239,1821.277,917.565,1491.49,--,--,0.169,0.355,0.071,0.121,0.17,0.398,0.069,0.117,0.107,1.16,0.001,0.056,208.064,213.406,118.3,163.468,0.023,0.005,0.002,0.013,0.003,0.001,0,0.002,209.654,213.824,118.422,164.327,--,--,1.03,0.993,0.362,1346.459,0.1,0.014,1353.119,--,158691564,710765,221323705,59019219,177439404,10071864,54603986,42171294,15857045,2281415,1121016,443147683,300143593,122704189,394200328,349090948,0.213,0.001,0.298,0.079,0.239,0.014,0.073,0.057,0.021,0.003,0.002,0.596,0.404,0.165,0.53,0.47,62910915,145416,136314507,0,0,3760234,0,0,0,657416,0,0.309,0.001,0.669,0,0,0.018,0,0,0,0.003,0
