YEAR,SUBRGN,SRNAME,NAMEPCAP,SRHTIAN,SRHTIOZ,SRHTIANT,SRHTIOZT,SRNGENAN,SRNGENOZ,SRNOXAN,SRNOXOZ,SRSO2AN,SRCO2AN,SRCH4AN,SRN2OAN,SRCO2EQA,SRHGAN,SRNOXRTA,SRNOXRTO,SRSO2RTA,SRCO2RTA,SRCH4RTA,SRN2ORTA,SRC2ERTA,SRHGRTA,SRNOXRA,SRNOXRO,SRSO2RA,SRCO2RA,SRCH4RA,SRN2ORA,SRC2ERA,SRHGRA,SRNOXCRT,SRNOXCRO,SRSO2CRT,SRCO2CRT,SRCH4CRT,SRN2OCRT,SRHGCRT,SRCNOXRT,SRONOXRT,SRGNOXRT,SRFSNXRT,SRCNXORT,SRONXORT,SRGNXORT,SRFSNORT,SRCSO2RT,SROSO2RT,SRGSO2RT,SRFSS2RT,SRCCO2RT,SROCO2RT,SRGCO2RT,SRFSC2RT,SRCCH4RT,SROCH4RT,SRGCH4RT,SRFCH4RT,SRCN2ORT,SRON2ORT,SRGN2ORT,SRFN2ORT,SRCC2ERT,SROC2ERT,SRGC2ERT,SRFSC2ERT,SRCHGRT,SRFSHGRT,SRCNOXR,SRONOXR,SRGNOXR,SRFSNXR,SRCNXOR,SRONXOR,SRGNXOR,SRFSNOR,SRCSO2R,SROSO2R,SRGSO2R,SRFSS2R,SRCCO2R,SROCO2R,SRGCO2R,SRFSC2R,SRCCH4R,SROCH4R,SRGCH4R,SRFCH4R,SRCN2OR,SRON2OR,SRGN2OR,SRFN2OR,SRCC2ER,SROC2ER,SRGC2ER,SRFSC2ER,SRCHGR,SRFSHGR,SRNBNOX,SRNBNXO,SRNBSO2,SRNBCO2,SRNBCH4,SRNBN2O,SRNBC2E,SRNBHG,SRGENACL,SRGENAOL,SRGENAGS,SRGENANC,SRGENAHY,SRGENABM,SRGENAWI,SRGENASO,SRGENAGT,SRGENAOF,SRGENAOP,SRGENATN,SRGENATR,SRGENATH,SRGENACY,SRGENACN,SRCLPR,SROLPR,SRGSPR,SRNCPR,SRHYPR,SRBMPR,SRWIPR,SRSOPR,SRGTPR,SROFPR,SROPPR,SRTNPR,SRTRPR,SRTHPR,SRCYPR,SRCNPR,SRNBGNCL,SRNBGNOL,SRNBGNGS,SRNBGNNC,SRNBGNHY,SRNBGNBM,SRNBGNWI,SRNBGNSO,SRNBGNGT,SRNBGNOF,SRNBGNOP,SRNBCLPR,SRNBOLPR,SRNBGSPR,SRNBNCPR,SRNBHYPR,SRNBBMPR,SRNBWIPR,SRNBSOPR,SRNBGTPR,SRNBOFPR,SRNBOPPR
2018,AKGD,ASCC Alaska Grid,2417,34759388,13902016,41636794,16770844,4641060,1882506,12693,5101,2552,2412505,380249,51485,2424929,--,5.47,5.419,1.1,1039.635,0.082,0.011,1044.989,--,0.73,0.734,0.147,138.812,0.011,0.001,139.527,--,6.531,6.471,1.313,1241.386,0.098,0.013,--,2.484,8.13,7.328,6.6,2.538,8.46,7.268,6.576,5.954,3.22,0.027,1.323,2179.98,1647.554,993.528,1254.378,0.246,0.454,0.019,0.099,0.036,0.062,0.002,0.013,2196.84,1677.425,994.556,1260.838,--,--,0.241,0.828,0.862,0.739,0.247,0.805,0.87,0.743,0.579,0.328,0.003,0.148,211.84,167.825,116.89,140.539,0.024,0.046,0.002,0.011,0.003,0.006,0,0.001,213.478,170.867,117.011,141.262,--,--,6.454,6.4,1.128,1262.461,0.11,0.015,1269.632,--,628564,384704,2833269,0,632426,42684,121841,0,0,0,-2428,3844108,796951,164525,3886793,754267,0.135,0.083,0.61,0,0.136,0.009,0.026,0,0,0,0,0.828,0.172,0.035,0.837,0.163,410986,353239,1949258,0,0,26748,0,0,0,0,0,0.15,0.129,0.711,0,0,0.01,0,0,0,0,0
2018,AKMS,ASCC Miscellaneous,1054,5627319,2400295,15337747,6512060,1603241,681598,6182,2673,543,420917,39230,6824,422424,--,7.712,7.844,0.677,525.083,0.024,0.004,526.963,--,2.197,2.227,0.193,149.598,0.007,0.001,150.133,--,22.97,23.363,2.017,1563.969,0.073,0.013,--,0,27.11,4.622,22.616,0,27.19,4.622,22.86,0,2.47,0.045,1.986,0,1516.587,1641.512,1541.548,0,0.082,0.031,0.072,0,0.015,0.003,0.012,0,1523.063,1643.209,1547.068,--,--,0,2.892,0.329,2.194,0,2.898,0.329,2.225,0,0.264,0.003,0.193,0,161.78,116.889,149.559,0,0.009,0.002,0.007,0,0.002,0,0.001,0,162.471,117.01,150.095,--,--,22.781,23.018,1.991,1528.313,0.068,0.012,1533.597,--,0,421516,114633,0,1031799,2790,33174,0,0,0,-672,535478,1067763,35964,538268,1064973,0,0.263,0.072,0,0.644,0.002,0.021,0,0,0,0,0.334,0.666,0.022,0.336,0.664,0,416924,96305,0,0,0,0,0,0,0,0,0,0.812,0.188,0,0,0,0,0,0,0,0
2018,AZNM,WECC Southwest,64435,1057438497,528004505,1577331950,762617132,165353383,80475865,60359,28915,21783,84524900,12811500,1806928,84954276,--,0.73,0.719,0.263,1022.355,0.077,0.011,1027.548,--,0.114,0.11,0.041,159.867,0.012,0.002,160.679,--,1.07,1.053,0.386,1498.345,0.114,0.016,--,1.903,24.496,0.533,1.066,1.922,24.566,0.54,1.017,0.91,14.057,0.011,0.36,2333.004,4544.156,971.227,1500.588,0.252,0.184,0.018,0.109,0.037,0.037,0.002,0.015,2350.208,4559.73,972.248,1507.899,--,--,0.169,0.88,0.066,0.114,0.168,0.881,0.066,0.11,0.081,0.505,0.001,0.039,207.199,163.326,119.916,160.872,0.022,0.007,0.002,0.012,0.003,0.001,0,0.002,208.727,163.885,120.042,161.656,--,--,0.996,0.944,0.286,1435.307,0.097,0.014,1441.78,--,44146154,70821,67964666,31097259,5568462,620358,2929036,7239755,5694516,0,22356,143301257,22052127,16483665,112824356,52529028,0.267,0,0.411,0.188,0.034,0.004,0.018,0.044,0.034,0,0,0.867,0.133,0.1,0.682,0.318,22767323,141,46256721,0,0,112879,0,0,0,0,0,0.329,0,0.669,0,0,0.002,0,0,0,0,0
2018,CAMX,WECC California,111738,832463622,373684299,1708655395,821978881,200103502,95731403,46342,19828,4716,49679324,6796556,874328,49894408,--,0.463,0.414,0.047,496.536,0.034,0.004,498.686,--,0.111,0.106,0.011,119.355,0.008,0.001,119.872,--,0.866,0.774,0.088,928.353,0.064,0.008,--,2.282,8.403,0.618,0.758,2.226,8.682,0.599,0.733,0.565,0.585,0.008,0.057,1973.587,1934.695,857.336,954.093,0.234,0.017,0.016,0.035,0.034,0.003,0.002,0.004,1989.569,1936.094,858.232,956.303,--,--,0.237,0.854,0.085,0.101,0.234,0.865,0.081,0.097,0.059,0.059,0.001,0.008,205.216,196.675,117.593,127.572,0.024,0.002,0.002,0.005,0.004,0,0,0.001,206.878,196.818,117.716,127.867,--,--,0.759,0.708,0.049,929.525,0.047,0.006,932.45,--,8763279,84863,90399561,18213519,21995546,5658482,14615417,29861014,8391185,1453960,666675,119581858,80521643,58526098,107026821,93076680,0.044,0,0.452,0.091,0.11,0.028,0.073,0.149,0.042,0.007,0.003,0.598,0.402,0.292,0.535,0.465,3080005,98031,53071995,0,0,1776578,0,0,0,462649,0,0.053,0.002,0.907,0,0,0.03,0,0,0,0.008,0
2018,ERCT,ERCOT All,168673,2476415349,1258501083,3585572537,1723412165,411784692,197318460,112197,54624,170752,191824106,27186085,3812852,192732047,--,0.545,0.554,0.829,931.672,0.066,0.009,936.082,--,0.091,0.087,0.138,154.921,0.011,0.002,155.654,--,0.757,0.769,1.152,1294.287,0.092,0.013,--,1.254,3.648,0.527,0.755,1.222,3.906,0.525,0.731,3.576,10.213,0.007,1.159,2242.21,2274.302,860.976,1301.2,0.252,0.057,0.016,0.092,0.037,0.01,0.002,0.013,2259.46,2278.554,861.84,1307.324,--,--,0.117,0.261,0.073,0.09,0.113,0.269,0.07,0.087,0.333,0.73,0.001,0.139,208.65,162.483,118.593,155.85,0.023,0.004,0.002,0.011,0.003,0.001,0,0.002,210.256,162.787,118.712,156.584,--,--,0.797,0.761,1.091,1260.972,0.083,0.012,1266.475,--,93161471,114455,199909497,41185739,922405,984441,70088919,3170904,0,1796092,450771,336618024,75166669,74244264,296416726,115367967,0.226,0,0.485,0.1,0.002,0.002,0.17,0.008,0,0.004,0.001,0.817,0.183,0.18,0.72,0.28,40899530,154932,103990265,0,0,275093,0,0,0,1989181,0,0.278,0.001,0.706,0,0,0.002,0,0,0,0.014,0
2018,FRCC,FRCC All,102499,1633195751,782317094,1973615891,920494585,233469406,108758687,41584,19846,32448,108778338,15492100,2071562,109280652,--,0.356,0.365,0.278,931.842,0.066,0.009,936.145,--,0.051,0.051,0.04,133.209,0.009,0.001,133.824,--,0.412,0.422,0.322,1078.311,0.077,0.01,--,0.807,2.337,0.207,0.327,0.852,2.835,0.218,0.337,1.425,0.996,0.032,0.309,1993.017,1154.467,870.979,1093.476,0.186,0.068,0.017,0.051,0.027,0.012,0.002,0.007,2005.708,1159.861,871.955,1096.776,--,--,0.076,0.269,0.028,0.041,0.077,0.194,0.029,0.042,0.135,0.115,0.004,0.039,188.688,132.758,119.396,137.666,0.018,0.008,0.002,0.006,0.003,0.001,0,0.001,189.889,133.378,119.53,138.081,--,--,0.415,0.425,0.37,1123.915,0.068,0.009,1128.326,--,27123676,2067368,164932332,29312349,232574,6147734,0,2167579,0,28549,1457245,224921519,8547887,8315313,201756904,31712502,0.116,0.009,0.706,0.126,0.001,0.026,0,0.009,0,0,0.006,0.963,0.037,0.036,0.864,0.136,29444119,59020,105066091,0,0,2276502,0,0,0,0,0,0.215,0,0.768,0,0,0.017,0,0,0,0,0
2018,HIMS,HICC Miscellaneous,1265,21094370,8810966,27359951,11340952,2743591,1179549,10478,4471,5444,1523638,323077,50151,1535145,--,7.638,7.582,3.969,1110.689,0.118,0.018,1119.077,--,0.993,1.015,0.516,144.459,0.015,0.002,145.55,--,10.191,10.115,5.295,1481.832,0.157,0.024,--,0,11.373,0,11.373,0,11.054,0,11.054,0,5.472,0,5.472,0,1679.396,0,1679.396,0,0.147,0,0.147,0,0.024,0,0.024,0,1690.068,0,1690.068,--,--,0,1.112,0,1.112,0,1.094,0,1.094,0,0.535,0,0.535,0,164.164,0,164.164,0,0.014,0,0.014,0,0.002,0,0.002,0,165.207,0,165.207,--,--,11.84,11.499,5.036,1535.745,0.139,0.022,1545.834,--,0,1816344,0,0,96520,50976,401290,79266,110089,0,189106,2005450,738141,641621,2056426,687165,0,0.662,0,0,0.035,0.019,0.146,0.029,0.04,0,0.069,0.731,0.269,0.234,0.75,0.25,0,1259299,0,0,0,19968,0,0,0,0,0,0,0.984,0,0,0,0.016,0,0,0,0,0
2018,HIOA,HICC Oahu,2354,71331045,30581066,74120739,31735598,7053182,3047404,12397,5749,28202,5889206,1266551,193231,5933829,--,3.515,3.773,7.997,1669.943,0.18,0.027,1682.596,--,0.348,0.376,0.791,165.123,0.018,0.003,166.374,--,3.675,3.944,8.36,1745.667,0.188,0.029,--,0.986,4.121,0,3.459,2.361,4.127,0,3.768,10.58,8.371,0,8.837,2338.064,1593.114,0,1750.39,0.271,0.076,0,0.117,0.039,0.014,0,0.02,2356.536,1599.265,0,1759.142,--,--,0.09,0.422,0,0.345,0.217,0.424,0,0.378,0.966,0.857,0,0.882,213.378,163.1,0,174.709,0.025,0.008,0,0.012,0.004,0.001,0,0.002,215.063,163.73,0,175.582,--,--,4.185,4.24,8.373,1682.054,0.159,0.025,1693.555,--,1311203,4932603,0,0,0,447892,200644,105310,0,55722,-192,6299336,753846,753846,6747228,305954,0.186,0.699,0,0,0,0.064,0.028,0.015,0,0.008,0,0.893,0.107,0.107,0.957,0.043,119343,2983408,0,0,0,293581,0,0,0,0,0,0.035,0.878,0,0,0,0.086,0,0,0,0,0
2018,MROE,MRO East,11489,220508199,105433441,238960852,112090353,24091646,10661310,10597,4730,10734,20213078,4076849,598607,20353231,--,0.88,0.887,0.891,1678.016,0.169,0.025,1689.651,--,0.096,0.09,0.097,183.332,0.018,0.003,184.603,--,0.96,0.969,0.973,1831.9,0.185,0.027,--,0.888,0.899,0.766,0.859,0.865,0.751,0.864,0.864,1.04,2.583,0.325,0.88,2218.238,1786.522,1050.506,1935.896,0.242,0.197,0.024,0.19,0.035,0.029,0.003,0.027,2234.801,1800.234,1051.885,1948.808,--,--,0.083,0.087,0.087,0.084,0.08,0.074,0.08,0.08,0.097,0.251,0.037,0.086,207.687,173.647,118.729,189.06,0.023,0.019,0.003,0.019,0.003,0.003,0,0.003,209.237,174.98,118.885,190.321,--,--,0.937,0.972,0.961,1634.315,0.149,0.022,1644.495,--,15443668,119385,5440444,0,1276037,1024259,739690,8035,0,16907,23221,21043625,3048020,1771984,22067884,2023761,0.641,0.005,0.226,0,0.053,0.043,0.031,0,0,0.001,0.001,0.873,0.127,0.074,0.916,0.084,6874357,147861,4690812,0,0,704792,0,0,0,0,0,0.554,0.012,0.378,0,0,0.057,0,0,0,0,0
2018,MROW,MRO West,81925,1480023485,656634723,2353900535,985529248,236704124,99191791,115576,50030,159939,146738518,32693599,4728627,147845555,--,0.977,1.009,1.351,1239.848,0.138,0.02,1249.201,--,0.156,0.152,0.216,198.292,0.022,0.003,199.788,--,1.595,1.647,2.207,2024.841,0.226,0.033,--,1.717,3.857,0.507,1.565,1.697,3.276,0.542,1.513,2.563,0.824,0.011,2.234,2218.292,1084.452,978.243,2057.771,0.249,0.045,0.018,0.219,0.036,0.008,0.002,0.032,2235.313,1087.848,979.25,2072.72,--,--,0.163,0.535,0.061,0.153,0.162,0.607,0.065,0.149,0.244,0.114,0.001,0.219,211.238,150.433,118.137,201.507,0.024,0.006,0.002,0.021,0.003,0.001,0,0.003,212.858,150.904,118.259,202.971,--,--,1.499,1.4,1.759,1764.291,0.192,0.027,1777.037,--,122647114,237246,19018032,25128868,14211593,2516888,51315894,1109405,0,63906,455139,167550305,69153780,54942187,144938325,91765760,0.518,0.001,0.08,0.106,0.06,0.011,0.217,0.005,0,0,0.002,0.708,0.292,0.232,0.612,0.388,31299411,220478,14320792,0,0,1392285,0,0,0,0,0,0.663,0.005,0.303,0,0,0.029,0,0,0,0,0
