YEAR,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STHTIANT,STHTIOZT,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STCH4RA,STN2ORA,STC2ERA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCCH4RT,STOCH4RT,STGCH4RT,STFCH4RT,STCN2ORT,STON2ORT,STGN2ORT,STFN2ORT,STCC2ERT,STOC2ERT,STGC2ERT,STFSC2ERT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCCH4R,STOCH4R,STGCH4R,STFCH4R,STCN2OR,STON2OR,STGN2OR,STFN2OR,STCC2ER,STOC2ER,STGC2ER,STFSC2ER,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBC2E,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,STNBGNCL,STNBGNOL,STNBGNGS,STNBGNNC,STNBGNHY,STNBGNBM,STNBGNWI,STNBGNSO,STNBGNGT,STNBGNOF,STNBGNOP,STNBCLPR,STNBOLPR,STNBGSPR,STNBNCPR,STNBHYPR,STNBBMPR,STNBWIPR,STNBSOPR,STNBGTPR,STNBOFPR,STNBOPPR
2018,AK,2,3471,40386706,16302312,56974540,23282905,6244300,2564103,18875,7774,3094,2833422,419479,58308,2847353,--,6.045,6.064,0.991,907.523,0.067,0.009,911.985,--,0.935,0.954,0.153,140.315,0.01,0.001,141.004,--,8.531,8.557,1.399,1280.625,0.095,0.013,--,2.484,18.352,7.228,8.586,2.538,19.708,7.171,8.702,5.954,2.817,0.028,1.405,2179.98,1577.023,1017.489,1289.986,0.246,0.254,0.019,0.096,0.036,0.037,0.002,0.013,2196.84,1594.294,1018.54,1296.33,--,--,0.241,1.916,0.83,0.944,0.247,2.005,0.837,0.963,0.579,0.294,0.003,0.154,211.84,164.639,116.89,141.806,0.024,0.026,0.002,0.01,0.003,7.657,0,0.001,213.478,166.442,117.011,142.503,--,--,9.03,9.162,1.264,1304.399,0.103,0.014,1311.272,--,628564,806220,2947902,0,1664225,45474,155015,0,0,0,-3100,4379586,1864714,200489,4425060,1819240,0.101,0.129,0.472,0,0.266,0.007,0.025,0,0,0,0,0.701,0.298,0.032,0.708,0.291,410986,770163,2045563,0,0,26748,0,0,0,0,0,0.126,0.237,0.629,0,0,0.008,0,0,0,0,0
2018,AL,1,38716,803815976,383420061,1321250109,611455873,143221259,65941498,26925,12280,16787,61869277,9035486,1323256,62179385,--,0.376,0.372,0.234,863.968,0.063,0.009,868.298,--,0.067,0.064,0.042,153.939,0.011,0.002,154.71,--,0.584,0.578,0.364,1341.222,0.098,0.014,--,1.017,36.197,0.18,0.571,1.017,36.247,0.157,0.555,0.571,3.436,0.058,0.298,1995.424,1934.766,846.989,1383.606,0.186,0.078,0.02,0.098,0.027,0.016,0.003,0.014,2008.096,1941.395,848.246,1390.197,--,--,0.096,3.056,0.025,0.065,0.094,3.056,0.022,0.062,0.054,0.29,0.008,0.034,188.75,163.326,116.57,157.038,0.018,0.007,0.003,0.011,0.003,2.646,0,0.002,189.949,163.885,116.743,157.786,--,--,0.648,0.611,0.421,1264.594,0.077,0.011,1269.76,--,31266480,65704,57474724,39462827,11143139,3446379,0,357252,0,4804,-49,128274490,14946770,3803631,92258042,50963218,0.218,0,0.401,0.276,0.078,0.024,0,0.002,0,0,0,0.896,0.104,0.027,0.644,0.356,17457396,773,24665362,0,0,1159129,0,0,0,0,0,0.403,0,0.57,0,0,0.027,0,0,0,0,0
2018,AR,5,19659,464166263,222119308,626495146,291471067,67999352,31399081,23376,11309,54506,41184879,7744388,1132979,41450498,--,0.688,0.72,1.603,1211.332,0.114,0.017,1219.144,--,0.101,0.102,0.235,177.457,0.017,0.002,178.602,--,0.899,0.942,2.095,1583.239,0.149,0.022,--,1.366,0,0.189,0.891,1.421,0,0.228,0.917,3.449,0,0.005,2.058,2174.99,0,830.623,1632.164,0.243,0,0.016,0.151,0.035,0,0.002,0.022,2191.578,0,831.514,1642.414,--,--,0.131,0,0.027,0.099,0.135,0,0.032,0.1,0.331,0,0.001,0.228,208.935,0,118.847,180.777,0.023,0,0.002,0.017,0.003,0,0,0.002,210.529,0,118.975,181.912,--,--,0.797,0.806,1.764,1323.63,0.104,0.015,1330.733,--,29996101,35517,20623705,12720818,3049020,1365691,0,203413,0,5087,0,63381228,4618124,1569104,52026100,15973251,0.441,0.001,0.303,0.187,0.045,0.02,0,0.003,0,0,0,0.932,0.068,0.023,0.765,0.235,8039099,0,13304541,0,0,800812,0,0,0,0,0,0.363,0,0.601,0,0,0.036,0,0,0,0,0
2018,AZ,4,40198,654785775,330763897,1095289800,530704055,111639090,54507292,35721,17482,16553,53979981,8608809,1226121,54270283,--,0.64,0.641,0.297,967.044,0.077,0.011,972.245,--,0.109,0.106,0.051,164.878,0.013,0.002,165.765,--,1.052,1.055,0.488,1590.019,0.127,0.018,--,1.851,28.068,0.399,1.047,1.919,28.4,0.423,1.008,1.075,13.878,0.015,0.488,2323.051,4584.231,1008.183,1594.527,0.255,0.186,0.018,0.124,0.037,0.037,0.002,0.018,2340.513,4599.946,1009.241,1602.9,--,--,0.165,1,0.048,0.109,0.169,1.003,0.05,0.105,0.096,0.494,0.002,0.051,207.169,163.326,120.94,165.764,0.023,0.007,0.002,0.013,0.003,2.646,0,0.002,208.726,163.886,121.067,166.635,--,--,0.884,0.857,0.363,1439.098,0.096,0.014,1445.519,--,30744623,49946,36887016,31097259,6977716,219495,530190,5135382,0,0,-2536,98776307,12862783,5885067,67898543,43740547,0.275,0,0.33,0.279,0.063,0.002,0.005,0.046,0,0,0,0.885,0.115,0.053,0.608,0.392,13011010,147,27518354,0,0,16620,0,0,0,0,0,0.321,0,0.679,0,0,0,0,0,0,0,0
2018,CA,6,107912,750125616,340436523,1662719097,808690465,195212860,94288174,36813,15921,3489,41032693,5211087,637904,41192732,--,0.377,0.338,0.036,420.389,0.027,0.003,422.029,--,0.098,0.094,0.009,109.402,0.007,0.001,109.829,--,0.75,0.672,0.071,836.174,0.053,0.006,--,1.198,8.454,0.623,0.619,1.241,8.748,0.602,0.602,0.002,0.59,0.008,0.009,1148.578,1934.834,857.489,857.588,0.129,0.017,0.016,0.017,0.019,0.003,0.002,0.002,1157.405,1936.241,858.385,858.505,--,--,0.215,0.859,0.085,0.085,0.217,0.871,0.081,0.081,0,0.06,0.001,0.001,206.001,196.608,117.582,117.955,0.023,0.002,0.002,0.002,0.003,0.666,0,0,207.584,196.751,117.705,118.081,--,--,0.685,0.639,0.022,871.488,0.04,0.005,873.871,--,281328,68101,89590175,18213519,26182093,6086865,14023951,26972511,11676841,1453960,663516,110270600,84942260,58760167,98143945,97068914,0.001,0,0.459,0.093,0.134,0.031,0.072,0.138,0.06,0.007,0.003,0.565,0.435,0.301,0.503,0.497,128051,98305,52679472,0,0,1914588,0,0,0,462649,0,0.002,0.002,0.953,0,0,0.035,0,0,0,0.008,0
2018,CO,8,20535,422528792,189764078,538256584,235813077,55375731,24224579,19739,8795,11443,37726616,7195784,1031894,37970316,--,0.713,0.726,0.413,1362.569,0.13,0.019,1371.37,--,0.093,0.093,0.054,178.575,0.017,0.002,179.729,--,0.918,0.935,0.532,1754.5,0.167,0.024,--,1.281,26.258,0.307,0.916,1.303,17.664,0.311,0.91,0.851,11.99,0.005,0.534,2220.381,3983.687,1004.44,1763.68,0.255,0.161,0.018,0.166,0.037,0.032,0.002,0.024,2237.822,3997.335,1005.431,1774.941,--,--,0.12,1.077,0.036,0.093,0.122,1.066,0.036,0.092,0.08,0.492,0.001,0.054,208.357,163.326,118.808,179.418,0.024,0.007,0.002,0.017,0.003,2.646,0,0.002,209.993,163.885,118.925,180.564,--,--,0.801,0.794,0.359,1534.144,0.12,0.017,1542.179,--,26382060,11858,16387916,0,1562647,164427,9745150,1062380,0,0,59292,42841127,12534605,10971958,43005554,12370177,0.476,0,0.296,0,0.028,0.003,0.176,0.019,0,0,0.001,0.774,0.226,0.198,0.777,0.223,9070077,3685,11952435,0,0,40124,0,0,0,0,0,0.431,0,0.567,0,0,0.002,0,0,0,0,0
2018,CT,9,12773,172661212,75679417,355289233,156160107,39453553,17307979,5325,2200,985,9988992,1954968,249457,10050464,--,0.27,0.254,0.05,506.367,0.05,0.006,509.483,--,0.062,0.058,0.011,115.706,0.011,0.001,116.418,--,0.486,0.458,0.09,912.428,0.089,0.011,--,1.537,4.761,0.238,0.287,2.443,3.974,0.234,0.256,2.1,3.565,0.019,0.074,2363.386,2475.467,843.032,877.728,0.294,0.08,0.016,0.021,0.043,0.015,0.002,0.002,2383.538,2481.982,843.896,878.938,--,--,0.136,0.295,0.033,0.039,0.15,0.226,0.032,0.035,0.186,0.221,0.003,0.01,209.734,153.267,117.585,120.373,0.026,0.005,0.002,0.003,0.004,1.878,0,0,211.522,153.67,117.705,120.539,--,--,0.678,0.569,0.231,1016.741,0.095,0.012,1022.815,--,329701,338957,20006458,16881492,558790,1220304,12295,105555,0,0,0,37556608,1896944,1338154,21895419,17558132,0.008,0.009,0.507,0.428,0.014,0.031,0,0.003,0,0,0,0.952,0.048,0.034,0.555,0.445,332995,129222,5960476,0,0,339897,0,0,0,0,0,0.049,0.019,0.881,0,0,0.05,0,0,0,0,0
2018,DC,11,43,716926,328115,716926,328115,74889,30175,158,69,2,16433,1633,163,16478,--,4.219,4.578,0.05,438.874,0.022,0.002,440.07,--,0.441,0.421,0.005,45.844,0.002,0,45.969,--,4.219,4.578,0.05,438.874,0.022,0.002,--,0,0,4.813,4.813,0,0,6.192,6.192,0,0,0.049,0.049,0,0,1793.26,1793.26,0,0,0.034,0.034,0,0,0.003,0.003,0,0,1795.113,1795.113,--,--,0,0,0.314,0.314,0,0,0.314,0.314,0,0,0.003,0.003,0,0,116.889,116.889,0,0,0.002,0.002,0,0,0,0,0,0,117.01,117.01,--,--,4.234,4.622,0.05,472.952,0.022,0.002,474.164,--,0,0,18328,0,0,56561,0,0,0,0,0,18328,56561,56561,74889,0,0,0,0.245,0,0,0.755,0,0,0,0,0,0.245,0.755,0.755,1,0,0,0,18328,0,0,51165,0,0,0,0,0,0,0,0.264,0,0,0.736,0,0,0,0,0
2018,DE,10,4015,46636127,22843239,47137581,23069095,6240644,2960720,1391,656,690,2802854,213194,27378,2809493,--,0.446,0.443,0.221,898.258,0.034,0.004,900.386,--,0.06,0.057,0.03,120.201,0.005,0.001,120.486,--,0.45,0.447,0.223,906.244,0.034,0.004,--,0.987,0.423,0.098,0.345,0.911,0.365,0.153,0.361,3.183,0.147,0.004,0.266,2247.166,1067.721,749.136,1025.097,0.376,0.022,0.017,0.04,0.055,0.003,0.002,0.005,2272.934,1069.007,749.955,1027.577,--,--,0.09,0.048,0.014,0.041,0.086,0.041,0.02,0.041,0.29,0.017,0.001,0.032,205.021,121.432,103.1,122.092,0.034,0.002,0.002,0.005,0.005,0.57,0,0.001,207.372,121.579,103.213,122.388,--,--,0.487,0.474,0.28,987.016,0.04,0.005,989.557,--,273388,200824,5400155,0,0,59101,5207,49789,0,252180,0,6126547,114097,114097,6185648,54996,0.044,0.032,0.865,0,0,0.009,0.001,0.008,0,0.04,0,0.982,0.018,0.018,0.991,0.009,279740,2782432,993397,0,0,30369,0,0,0,0,0,0.068,0.681,0.243,0,0,0.007,0,0,0,0,0
2018,FL,12,105450,1713314536,822509694,2055804587,961633113,243456187,113523350,44328,21453,33791,114827503,16505170,2220651,115364694,--,0.364,0.378,0.278,943.311,0.068,0.009,947.724,--,0.052,0.052,0.039,134.041,0.01,0.001,134.668,--,0.419,0.435,0.32,1085.754,0.078,0.01,--,0.798,2.337,0.216,0.337,0.861,2.835,0.227,0.352,1.345,0.996,0.031,0.302,2003.453,1154.467,869.773,1102.776,0.191,0.068,0.017,0.053,0.028,0.012,0.002,0.007,2016.516,1159.861,870.745,1106.235,--,--,0.076,0.269,0.03,0.042,0.078,0.194,0.031,0.043,0.128,0.115,0.004,0.038,189.873,132.758,119.368,138.58,0.018,0.008,0.002,0.007,0.003,2.851,0,0.001,191.111,133.378,119.502,139.014,--,--,0.42,0.436,0.366,1136.321,0.071,0.01,1140.927,--,30249685,2071272,171122438,29312349,232574,6581994,0,2394593,0,34037,1457245,234247026,9209161,8976587,211516671,31939516,0.124,0.009,0.703,0.12,0.001,0.027,0,0.01,0,0,0.006,0.962,0.038,0.037,0.869,0.131,32144480,59020,108063324,0,0,2435148,0,0,0,0,0,0.225,0,0.757,0,0,0.017,0,0,0,0,0
