SEQGEN19,YEAR,PSTATABB,PNAME,ORISPL,GENID,NUMBLR,GENSTAT,PRMVR,FUELG1,NAMEPCAP,CFACT,GENNTAN,GENNTOZ,GENERSRC,GENYRONL,GENYRRET
1,2019,AK,7-Mile Ridge Wind Project,60814,WT1,0,CN,WT,WND,1.8,,,,,,
2,2019,AK,Agrium Kenai Nitrogen Operations,54452,744A,0,OS,GT,NG,2.5,,,,,1977,
3,2019,AK,Agrium Kenai Nitrogen Operations,54452,744B,0,OS,GT,NG,2.5,,,,,1977,
4,2019,AK,Agrium Kenai Nitrogen Operations,54452,744C,0,OS,GT,NG,2.5,,,,,1977,
5,2019,AK,Agrium Kenai Nitrogen Operations,54452,744D,0,OS,GT,NG,2.5,,,,,1977,
6,2019,AK,Agrium Kenai Nitrogen Operations,54452,744E,0,OS,GT,NG,2.5,,,,,1977,
7,2019,AK,Agrium Kenai Nitrogen Operations,54452,644A,0,RE,IC,NG,1.3,,,,,,2001
8,2019,AK,Agrium Kenai Nitrogen Operations,54452,644B,0,RE,IC,NG,1.3,,,,,,2001
9,2019,AK,Agrium Kenai Nitrogen Operations,54452,644C,0,RE,IC,NG,1.3,,,,,,2001
10,2019,AK,Agrium Kenai Nitrogen Operations,54452,644D,0,RE,IC,NG,1.3,,,,,,2001
11,2019,AK,Agrium Kenai Nitrogen Operations,54452,644E,0,RE,IC,NG,1.3,,,,,,2001
12,2019,AK,Agrium Kenai Nitrogen Operations,54452,644F,0,RE,IC,NG,1.3,,,,,,2001
13,2019,AK,Agrium Kenai Nitrogen Operations,54452,644G,0,RE,IC,NG,1.3,,,,,,2001
14,2019,AK,Alakanuk,57053,UNIT4,0,SB,IC,DFO,0.8,-0.002,-14,-6,Distributed from 923 Generation And Fuel,2013,
15,2019,AK,Alakanuk,57053,G309,0,CN,IC,DFO,0.5,,,,,,
16,2019,AK,Alakanuk,57053,UNIT1,0,RE,IC,DFO,0.4,,,,,,2016
17,2019,AK,Alakanuk,57053,UNIT2,0,RE,IC,DFO,0.5,,,,,,2016
18,2019,AK,Alakanuk,57053,UNIT3,0,RE,IC,DFO,0.4,,,,,,2016
19,2019,AK,Allison Creek Hydro,58982,GEN1,0,OP,HY,WAT,6.5,0.336,19135,8369,Distributed from 923 Generation And Fuel,2016,
20,2019,AK,Ambler,60243,1,0,OP,IC,DFO,0.4,0.122,428,174,Distributed from 923 Generation And Fuel,1998,
21,2019,AK,Ambler,60243,2,0,OP,IC,DFO,0.3,0.122,321,131,Distributed from 923 Generation And Fuel,1993,
22,2019,AK,Ambler,60243,3,0,OP,IC,DFO,0.4,0.122,428,174,Distributed from 923 Generation And Fuel,1990,
23,2019,AK,Anchorage 1,75,3R,0,OP,GT,NG,48.9,0.022,9491,3594,Distributed from 923 Generation And Fuel,2007,
24,2019,AK,Anchorage 1,75,4,0,OP,GT,NG,27,0.022,5241,1985,Distributed from 923 Generation And Fuel,1972,
25,2019,AK,Anchorage 1,75,P1 BS,0,OP,IC,DFO,2,0,5,2,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,2012,
26,2019,AK,Anchorage 1,75,1,0,RE,GT,NG,12.5,,,,,,2016
27,2019,AK,Anchorage 1,75,2,0,RE,GT,NG,12.5,,,,,,2016
28,2019,AK,Anchorage 1,75,3,0,RE,GT,NG,16.3,,,,,,2004
29,2019,AK,Anchorage 1,75,D1,0,RE,IC,DFO,1.1,,,,,,2010
30,2019,AK,Anchorage 1,75,D2,0,RE,IC,DFO,1.1,,,,,,2010
31,2019,AK,Angoon,7462,1A,0,OP,IC,DFO,0.5,0.123,537,219,Distributed from 923 Generation And Fuel,2009,
32,2019,AK,Angoon,7462,2A,0,OP,IC,DFO,0.5,0.123,537,219,Distributed from 923 Generation And Fuel,1998,
33,2019,AK,Angoon,7462,3,0,OP,IC,DFO,0.5,0.123,537,219,Distributed from 923 Generation And Fuel,1990,
34,2019,AK,Angoon,7462,1,0,RE,IC,DFO,0.4,,,,,,2008
35,2019,AK,Aniak,7182,1,0,OP,IC,DFO,0.5,,,,,1988,
36,2019,AK,Aniak,7182,10,0,OP,IC,DFO,0.6,,,,,2016,
37,2019,AK,Aniak,7182,9,0,OP,IC,DFO,0.6,,,,,1996,
38,2019,AK,Aniak,7182,3,0,RE,IC,DFO,0.3,,,,,,2005
39,2019,AK,Aniak,7182,4,0,RE,IC,DFO,0.3,,,,,,2005
40,2019,AK,Aniak,7182,5,0,RE,IC,DFO,0.3,,,,,,1994
41,2019,AK,Annex Creek,62,5,0,OP,HY,WAT,1.8,0.764,12042,5267,Distributed from 923 Generation And Fuel,1915,
