YEAR,NERC,NERCNAME,NRNAMEPCAP,NRHTIAN,NRHTIOZ,NRHTIANT,NRHTIOZT,NRNGENAN,NRNGENOZ,NRNOXAN,NRNOXOZ,NRSO2AN,NRCO2AN,NRCH4AN,NRN2OAN,NRCO2EQA,NRHGAN,NRNOXRTA,NRNOXRTO,NRSO2RTA,NRCO2RTA,NRCH4RTA,NRN2ORTA,NRC2ERTA,NRHGRTA,NRNOXRA,NRNOXRO,NRSO2RA,NRCO2RA,NRCH4RA,NRN2ORA,NRC2ERA,NRHGRA,NRNOXCRT,NRNOXCRO,NRSO2CRT,NRCO2CRT,NRCH4CRT,NRN2OCRT,NRC2ECRT,NRHGCRT,NRCNOXRT,NRONOXRT,NRGNOXRT,NRFSNXRT,NRCNXORT,NRONXORT,NRGNXORT,NRFSNORT,NRCSO2RT,NROSO2RT,NRGSO2RT,NRFSS2RT,NRCCO2RT,NROCO2RT,NRGCO2RT,NRFSC2RT,NRCCH4RT,NROCH4RT,NRGCH4RT,NRFCH4RT,NRCN2ORT,NRON2ORT,NRGN2ORT,NRFN2ORT,NRCC2ERT,NROC2ERT,NRGC2ERT,NRFSC2ERT,NRCHGRT,NRFSHGRT,NRCNOXR,NRONOXR,NRGNOXR,NRFSNXR,NRCNXOR,NRONXOR,NRGNXOR,NRFSNOR,NRCSO2R,NROSO2R,NRGSO2R,NRFSS2R,NRCCO2R,NROCO2R,NRGCO2R,NRFSC2R,NRCCH4R,NROCH4R,NRGCH4R,NRFCH4R,NRCN2OR,NRON2OR,NRGN2OR,NRFN2OR,NRCC2ER,NROC2ER,NRGC2ER,NRFSC2ER,NRCHGR,NRFSHGR,NRNBNOX,NRNBNXO,NRNBSO2,NRNBCO2,NRNBCH4,NRNBN2O,NRNBC2E,NRNBHG,NRGENACL,NRGENAOL,NRGENAGS,NRGENANC,NRGENAHY,NRGENABM,NRGENAWI,NRGENAOP,NRGENAGT,NRGENAOF,SumOfPLGENAOP,NRGENATN,NRGENATR,NRGENATH,NRGENACY,NRGENACN,NRCLPR,NROLPR,NRGSPR,NRNCPR,NRHYPR,NRBMPR,NRWIPR,NRSOPR,NRGTPR,NROFPR,NROPPR,NRTNPR,NRTRPR,NRTHPR,NRCYPR,NRCNPR,NRNBGNCL,NRNBGNOL,NRNBGNGS,NRNBGNNC,NRNBGNHY,NRNBGNBM,NRNBGNWI,NRNBGNSO,NRNBGNGT,NRNBGNOF,NRNBGNOP,NRNBCLPR,NRNBOLPR,NRNBGSPR,NRNBNCPR,NRNBHYPR,NRNBBMPR,NRNBWIPR,NRNBSOPR,NRNBGTPR,NRNBOFPR,NRNBOPPR
2019,ASCC,Alaska Systems Coordinating Council,3267,34266769,13184296,48117575,19197609,5085326,2027188,11296,4493,2133,2562273,466701,65420,2577854,--,4.442,4.433,0.839,1007.712,0.092,0.013,1013.84,--,0.659,0.682,0.124,149.549,0.014,0.002,150.458,--,6.4,6.386,1.209,1451.742,0.132,0.019,1460.57,--,2.068,17.211,3.008,6.339,2.035,17.34,3.015,6.582,2.702,2.626,0.03,1.202,2283.79,1560.53,1098.172,1447.624,0.2574,0.2806,0.0207,0.132,0.0375,0.04,0.0021,0.0185,2301.409,1579.468,1099.307,1456.434,--,--,0.191,1.826,0.32,0.655,0.186,1.834,0.32,0.677,0.25,0.279,0.003,0.124,211.407,165.563,116.889,149.524,0.0238,0.0298,0.0022,0.0136,0.0035,0.0042,0.0002,0.0019,213.038,167.572,117.01,150.434,--,--,7.162,7.527,1.165,1424.332,0.128,0.018,1432.865,--,683055,886336,1963161,0,1462049,663,93348,0,0,0,-3287,3529266,1556060,94011,3529928,1555397,0.134,0.174,0.386,0,0.287,0,0.018,0,0,0,0,0.694,0.306,0.018,0.694,0.306,396420,799442,1533449,0,0,0,0,0,0,0,0,0.145,0.293,0.562,0,0,0,0,0,0,0,0
2019,HICC,Hawaiian Islands Coordinating Council,3073,92296370,40751890,98194215,43064352,9418399,4144336,23442,10942,29959,7558703,1633493,249133,7616235,--,4.978,5.28,6.362,1605.093,0.173,0.026,1617.31,--,0.508,0.537,0.649,163.792,0.018,0.003,165.039,--,5.354,5.68,6.843,1726.501,0.187,0.028,1739.643,--,0.986,6.339,0,5.475,2.337,6.432,0,5.804,4.952,7.528,0,7.112,2321.874,1632.134,0,1743.369,0.2684,0.1063,0,0.1324,0.039,0.0183,0,0.0216,2340.194,1640.242,0,1753.124,--,--,0.091,0.635,0,0.54,0.216,0.645,0,0.575,0.455,0.754,0,0.702,213.195,163.401,0,172.031,0.0246,0.0106,0,0.0131,0.0036,0.0018,0,0.0021,214.877,164.213,0,172.994,--,--,6.36,6.471,7.505,1688.23,0.142,0.023,1698.607,--,1301946,6863991,0,0,94542,413470,529310,38455,0,5624,171060,8342622,1075777,981235,8756092,662307,0.138,0.729,0,0,0.01,0.044,0.056,0.004,0,0.001,0.018,0.886,0.114,0.104,0.93,0.07,130007,4301473,0,0,0,224843,0,0,0,0,0,0.028,0.924,0,0,0,0.048,0,0,0,0,0
2019,MRO,Midwest Reliability Organization,183297,2594248654,1208990050,4274199824,1863377148,448028440,193752376,160436,73074,175212,231690594,44925139,6473818,233216489,--,0.716,0.754,0.782,1034.267,0.1,0.014,1041.079,--,0.124,0.121,0.135,178.619,0.017,0.002,179.795,--,1.207,1.272,1.319,1743.778,0.169,0.024,1755.262,--,1.487,5.497,0.626,1.185,1.486,4.03,0.668,1.169,2.032,3.057,0.02,1.313,2191.891,1461.954,1015.335,1769.652,0.2499,0.1008,0.0191,0.167,0.0363,0.016,0.002,0.024,2208.969,1469.254,1016.395,1780.973,--,--,0.142,0.607,0.073,0.121,0.14,0.521,0.076,0.119,0.194,0.338,0.002,0.134,208.805,161.479,119.036,180.78,0.0238,0.0111,0.0022,0.0171,0.0035,0.0018,0.0002,0.0025,210.432,162.286,119.16,181.936,--,--,1.249,1.228,1.226,1710.466,0.156,0.022,1721.044,--,162123870,547342,98108244,35539597,24351886,4068436,120541294,1861590,0,434991,451184,297205228,150823207,126471320,265734067,182294368,0.362,0.001,0.219,0.079,0.054,0.009,0.269,0.004,0,0.001,0.001,0.663,0.337,0.282,0.593,0.407,85399845,389934,60660119,0,0,2030789,0,0,0,69740,0,0.575,0.003,0.408,0,0,0.014,0,0,0,0,0
2019,NA,No NERC region,885,8016161,2794350,11936520,4479770,1314516,527110,9704,3726,46,379953,70915,9140,382202,--,14.764,14.139,0.07,578.088,0.054,0.007,581.509,--,2.421,2.667,0.011,94.797,0.009,0.001,95.358,--,22.198,21.258,0.105,869.187,0.081,0.01,874.33,--,0,31.012,24.145,24.263,0,31.165,24.145,24.274,0,2.76,0.028,0.075,0,1554.286,1020.646,1029.815,0,0.0629,0.0193,0.02,0,0.0126,0.0019,0.0021,0,1559.611,1021.701,1030.944,--,--,0,3.259,2.765,2.774,0,3.259,2.765,2.775,0,0.29,0.003,0.009,0,163.326,116.889,117.757,0,0.0066,0.0022,0.0023,0,0.0013,0.0002,0.0002,0,163.885,117.01,117.886,--,--,22.516,22.431,0.132,833.358,0.064,0.008,837.474,--,0,12437,723829,0,161317,138977,49243,229683,0,0,-970,735296,579221,417904,874273,440243,0,0.009,0.55,0,0.123,0.106,0.037,0.175,0,0,0,0.559,0.441,0.318,0.665,0.335,0,12655,382174,0,0,97007,0,0,0,0,0,0,0.026,0.777,0,0,0.197,0,0,0,0,0
2019,NPCC,Northeast Power Coordinating Council,103002,892141729,411484365,2104421273,910437043,231592734,101071179,30658,13434,8238,49230130,11325878,1469418,49577514,--,0.265,0.266,0.071,425.144,0.049,0.006,428.144,--,0.069,0.065,0.018,110.364,0.013,0.002,111.143,--,0.562,0.564,0.151,902.579,0.104,0.013,908.948,--,2.645,3.643,0.271,0.315,3.306,2.807,0.273,0.308,4.099,1.303,0.02,0.06,2290.05,1160.643,880.176,892.824,0.2728,0.0522,0.0171,0.0193,0.0397,0.0102,0.0018,0.0021,2308.703,1164.982,881.127,893.934,--,--,0.237,0.404,0.036,0.042,0.26,0.291,0.037,0.041,0.367,0.144,0.003,0.008,205.169,128.571,118.59,119.644,0.0244,0.0058,0.0023,0.0026,0.0036,0.0011,0.0002,0.0003,206.84,129.052,118.718,119.793,--,--,0.485,0.449,0.144,929.144,0.064,0.008,933.018,--,889072,695098,96865099,74682543,37570192,10410360,8189923,2062438,0,151096,76915,173359823,58232912,20662720,109087639,122505095,0.004,0.003,0.418,0.322,0.162,0.045,0.035,0.009,0,0.001,0,0.749,0.251,0.089,0.471,0.529,729038,674422,56156977,0,0,3109078,0,0,0,0,0,0.012,0.011,0.926,0,0,0.051,0,0,0,0,0
2019,PR,Puerto Rico,6442,179724865,80998602,183395878,82676826,18166188,8096637,31972,15925,29426,13963514,1523991,239833,14018299,--,3.52,3.934,3.24,1537.308,0.084,0.013,1543.34,--,0.356,0.393,0.327,155.388,0.008,0.001,155.997,--,3.605,4.029,3.318,1574.448,0.086,0.014,1580.625,--,2.452,5.764,2.126,3.591,2.445,6.467,2.154,4.016,2.223,7.411,0.057,3.318,2161.105,1677.694,1197.522,1574.22,0.2545,0.068,0.0218,0.0859,0.037,0.0136,0.0022,0.0135,2178.5,1683.445,1198.721,1580.397,--,--,0.234,0.561,0.216,0.354,0.234,0.615,0.218,0.392,0.212,0.721,0.006,0.327,205.912,163.24,121.928,155.384,0.0243,0.0066,0.0022,0.0085,0.0035,0.0013,0.0002,0.0013,207.569,163.799,122.051,155.994,--,--,4.45,5.125,4.993,1587.907,0.055,0.01,1592.279,--,3532311,6848526,7359675,0,0,0,156110,272411,0,0,-2845,17737667,428521,428521,17737667,428521,0.194,0.377,0.405,0,0,0,0.009,0.015,0,0,0,0.976,0.024,0.024,0.976,0.024,55041,6312912,3231008,0,0,0,0,0,0,0,0,0.006,0.658,0.337,0,0,0,0,0,0,0,0
2019,RFC,Reliability First Corporation,331072,5376715376,2418323486,8640640209,3778984015,918956653,396600622,298602,102171,286541,443225591,79430159,11266925,445894512,--,0.65,0.515,0.624,964.628,0.086,0.012,970.436,--,0.111,0.084,0.107,164.869,0.015,0.002,165.861,--,0.992,0.787,0.952,1472.559,0.132,0.019,1481.426,--,1.716,2.302,0.27,0.961,1.258,1.695,0.29,0.743,2.001,1.744,0.013,0.958,2178.764,1557.835,871.764,1490.055,0.2475,0.0422,0.0165,0.1254,0.036,0.0067,0.0017,0.0179,2195.679,1560.896,872.666,1498.507,--,--,0.162,0.223,0.037,0.108,0.116,0.167,0.038,0.082,0.189,0.169,0.002,0.108,206.123,150.786,118.754,167.859,0.0234,0.0041,0.0022,0.0141,0.0034,0.0007,0.0002,0.002,207.723,151.083,118.877,168.811,--,--,1.239,0.968,1.206,1656.655,0.153,0.022,1667.004,--,270376325,2492722,313274733,275202238,8851746,9807179,30267215,2655277,0,5714411,314807,867375235,51581417,42729671,601980177,316976476,0.294,0.003,0.341,0.299,0.01,0.011,0.033,0.003,0,0.006,0,0.944,0.056,0.046,0.655,0.345,146384004,2983247,109528501,0,0,3034885,0,0,0,218688,0,0.558,0.011,0.418,0,0,0.012,0,0,0,0.001,0
2019,SERC,SERC Reliability Corporation,497290,8160609161,3958383514,12174008976,5656794869,1354550826,625332712,322755,146544,369258,617522277,97692129,13900319,620772792,--,0.477,0.469,0.545,911.774,0.072,0.01,916.574,--,0.079,0.074,0.09,151.342,0.012,0.002,152.139,--,0.669,0.658,0.765,1279.967,0.101,0.014,1286.704,--,1.233,0.921,0.291,0.639,1.113,0.697,0.312,0.607,1.877,8.432,0.018,0.733,2073.61,1312.976,876.058,1316.588,0.2207,0.1762,0.0184,0.093,0.032,0.0274,0.002,0.0131,2088.677,1325.539,877.091,1322.804,--,--,0.118,0.145,0.04,0.075,0.106,0.126,0.041,0.07,0.18,1.324,0.002,0.087,198.545,206.2,119.379,155.447,0.0211,0.0277,0.0025,0.011,0.0031,0.0043,0.0003,0.0015,199.988,208.173,119.519,156.181,--,--,0.716,0.706,0.759,1327.866,0.101,0.014,1334.596,--,297504138,5786254,626881745,325734626,41906940,29323778,5676324,16329507,0,2896916,2510598,1261314277,93236549,51329608,964903429,389647397,0.22,0.004,0.463,0.24,0.031,0.022,0.004,0.012,0,0.002,0.002,0.931,0.069,0.038,0.712,0.288,201679261,3626137,320788331,0,0,11690876,0,0,0,58428,0,0.375,0.007,0.596,0,0,0.022,0,0,0,0,0
2019,TRE,Texas Regional Entity,176844,2411103406,1228302902,3570035841,1708421755,414237429,197550258,107041,52637,118938,180169480,23678753,3293401,180952866,--,0.517,0.533,0.574,869.885,0.057,0.008,873.667,--,0.089,0.086,0.099,149.45,0.01,0.001,150.1,--,0.734,0.757,0.816,1236.261,0.081,0.011,1241.636,--,1.22,3.91,0.556,0.733,1.203,3.799,0.553,0.716,2.94,10.491,0.007,0.82,2225.637,2295.324,877.79,1243.403,0.2542,0.0572,0.0161,0.0814,0.037,0.0098,0.0016,0.0113,2243.004,2299.664,878.673,1248.809,--,--,0.114,0.286,0.075,0.089,0.112,0.283,0.073,0.085,0.274,0.767,0.001,0.099,207.42,167.706,118.576,150.256,0.0237,0.0042,0.0022,0.0098,0.0034,0.0007,0.0002,0.0014,209.039,168.023,118.695,150.91,--,--,0.86,0.832,0.913,1282.966,0.084,0.012,1288.52,--,77838830,139259,210003517,41298007,1072290,851466,76062549,4329779,0,2132924,508808,331921345,82316084,81243794,291474804,122762625,0.188,0,0.507,0.1,0.003,0.002,0.184,0.01,0,0.005,0.001,0.801,0.199,0.196,0.704,0.296,41458464,182750,103037015,0,0,146415,0,0,0,1976308,0,0.282,0.001,0.702,0,0,0.001,0,0,0,0.013,0
2019,WECC,Western Electricity Coordinating Council,308306,3629249964,1571517414,6734463963,3025713439,738835346,332026682,216737,91101,100999,284134780,48368392,6801040,285747759,--,0.587,0.549,0.273,769.142,0.065,0.009,773.509,--,0.119,0.116,0.056,156.58,0.013,0.002,157.469,--,1.082,1.012,0.504,1418.503,0.121,0.017,1426.555,--,1.846,3.128,0.528,1.045,1.832,3.031,0.534,1.019,1.201,13.406,0.008,0.491,2302.46,1813.868,908.603,1449.696,0.2566,0.0462,0.0172,0.11,0.0373,0.0092,0.0018,0.0156,2319.994,1817.754,909.553,1457.08,--,--,0.167,0.369,0.069,0.116,0.165,0.359,0.068,0.113,0.108,1.583,0.001,0.055,208.047,214.193,117.99,161.061,0.0232,0.0055,0.0022,0.0122,0.0034,0.0011,0.0002,0.0017,209.631,214.652,118.114,161.881,--,--,1.052,1.027,0.4,1379.772,0.107,0.015,1386.883,--,150417986,891828,236433853,56952251,167098240,9759043,54377256,44322673,15472717,2111419,998080,447805417,291029929,123931689,400612210,338223137,0.204,0.001,0.32,0.077,0.226,0.013,0.074,0.06,0.021,0.003,0.001,0.606,0.394,0.168,0.542,0.458,70619030,130498,135161374,0,0,3580786,0,0,0,1393669,0,0.335,0.001,0.641,0,0,0.017,0,0,0,0.007,0
