YEAR,BANAME,BACODE,BANAMEPCAP,BAHTIAN,BAHTIOZ,BAHTIANT,BAHTIOZT,BANGENAN,BANGENOZ,BANOXAN,BANOXOZ,BASO2AN,BACO2AN,BACH4AN,BAN2OAN,BACO2EQA,BAHGAN,BANOXRTA,BANOXRTO,BASO2RTA,BACO2RTA,BACH4RTA,BAN2ORTA,BAC2ERTA,BAHGRTA,BANOXRA,BANOXRO,BASO2RA,BACO2RA,BACH4RA,BAN2ORA,BAC2ERA,BAHGRA,BANOXCRT,BANOXCRO,BASO2CRT,BACO2CRT,BACH4CRT,BAN2OCRT,BAC2ECRT,BAHGCRT,BACNOXRT,BAONOXRT,BAGNOXRT,BAFSNXRT,BACNXORT,BAONXORT,BAGNXORT,BAFSNORT,BACSO2RT,BAOSO2RT,BAGSO2RT,BAFSS2RT,BACCO2RT,BAOCO2RT,BAGCO2RT,BAFSC2RT,BACCH4RT,BAOCH4RT,BAGCH4RT,BAFCH4RT,BACN2ORT,BAON2ORT,BAGN2ORT,BAFN2ORT,BACC2ERT,BAOC2ERT,BAGC2ERT,BAFSC2ERT,BACHGRT,BAFSHGRT,BACNOXR,BAONOXR,BAGNOXR,BAFSNXR,BACNXOR,BAONXOR,BAGNXOR,BAFSNOR,BACSO2R,BAOSO2R,BAGSO2R,BAFSS2R,BACCO2R,BAOCO2R,BAGCO2R,BAFSC2R,BACCH4R,BAOCH4R,BAGCH4R,BAFCH4R,BACN2OR,BAON2OR,BAGN2OR,BAFN2OR,BACC2ER,BAOC2ER,BAGC2ER,BAFSC2ER,BACHGR,BAFSHGR,BANBNOX,BANBNXO,BANBSO2,BANBCO2,BANBCH4,BANBN2O,BANBC2E,BANBHG,BAGENACL,BAGENAOL,BAGENAGS,BAGENANC,BAGENAHY,BAGENABM,BAGENAWI,BAGENASO,BAGENAGT,BAGENAOF,BAGENAOP,BAGENATN,BAGENATR,BAGENATH,BAGENACY,BAGENACN,BACLPR,BAOLPR,BAGSPR,BANCPR,BAHYPR,BABMPR,BAWIPR,BASOPR,BAGTPR,BAOFPR,BAOPPR,BATNPR,BATRPR,BATHPR,BACYPR,BACNPR,BANBGNCL,BANBGNOL,BANBGNGS,BANBGNNC,BANBGNHY,BANBGNBM,BANBGNWI,BANBGNSO,BANBGNGT,BANBGNOF,BANBGNOP,BANBCLPR,BANBOLPR,BANBGSPR,BANBNCPR,BANBHYPR,BANBBMPR,BANBWIPR,BANBSOPR,BANBGTPR,BANBOFPR,BANBOPPR
2021,Alcoa Power Generating Inc. - Yadkin Division,YAD,215,0,0,7557733,2976492,854657,336594,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,,,,,,,,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,--,0,0,0,0,854657,0,0,0,0,0,0,0,854657,0,0,854657,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Arizona Public Service Company,AZPS,5882,138208092,69705707,158125203,79219278,16332972,8243910,5366,2656,3087,12692788,2645837,378234,12782218,--,0.657,0.644,0.378,1554.253,0.162,0.023,1565.204,--,0.078,0.076,0.045,183.676,0.019,0.003,184.971,--,0.762,0.748,0.438,1802.867,0.188,0.027,1815.57,--,0.977,17.452,0.164,0.74,0.998,17.6,0.151,0.723,0.618,6.097,0.004,0.439,2254.928,3237.548,796.444,1830.178,0.24,0.131,0.02,0.1761,0.0349,0.0262,0.002,0.0253,2271.346,3248.645,797.535,1842.133,--,--,0.089,0.88,0.024,0.076,0.09,0.878,0.023,0.075,0.056,0.308,0.001,0.045,205.2,163.326,118.843,187.896,0.0219,0.0066,0.003,0.0181,0.0032,0.0013,0.0003,0.0026,206.694,163.886,119.005,189.123,--,--,0.617,0.589,0.337,1580.898,0.137,0.019,1590.122,--,9729568,4120,4136863,0,0,210116,348211,1904093,0,0,0,13870552,2462420,2462420,14080668,2252304,0.596,0,0.253,0,0,0.013,0.021,0.117,0,0,0,0.849,0.151,0.151,0.862,0.138,4184731,62,3703178,0,0,3421,0,0,0,0,0,0.53,0,0.469,0,0,0,0,0,0,0,0
2021,Arlington Valley LLC - AVBA,DEAA,713,17388046,8673135,17388046,8673135,2378008,1173059,71,38,5,1033353,38553,3855,1034409,--,0.06,0.064,0.004,869.091,0.016,0.002,869.98,--,0.008,0.009,0.001,118.858,0.002,0,118.979,--,0.06,0.064,0.004,869.091,0.016,0.002,869.98,--,0,0,0.06,0.06,0,0,0.064,0.064,0,0,0.004,0.004,0,0,869.091,869.091,0,0,0.016,0.0162,0,0,0.0016,0.0016,0,0,869.98,869.98,--,--,0,0,0.008,0.008,0,0,0.009,0.009,0,0,0.001,0.001,0,0,118.858,118.858,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,118.979,118.979,--,--,0.06,0.064,0.004,869.091,0.016,0.002,869.98,--,0,0,2378008,0,0,0,0,0,0,0,0,2378008,0,0,2378008,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1661703,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,Associated Electric Cooperative Inc.,AECI,6701,203065729,87816151,228596654,96796375,25778301,10773697,28427,9734,26703,18355586,3540621,508686,18475638,--,2.206,1.807,2.072,1424.111,0.137,0.02,1433.426,--,0.28,0.222,0.263,180.785,0.017,0.003,181.967,--,2.494,2.043,2.342,1610.115,0.155,0.022,1620.646,--,3.921,30.357,0.124,2.495,3.372,30.236,0.119,2.01,3.753,2.701,0.005,2.344,2041.433,1521.662,897.108,1611.187,0.239,0.062,0.017,0.1554,0.0348,0.0123,0.0017,0.0223,2057.769,1526.875,898.023,1621.724,--,--,0.403,3.258,0.017,0.28,0.333,3.258,0.016,0.222,0.386,0.29,0.001,0.263,209.757,163.325,119.02,180.887,0.0246,0.0066,0.0022,0.0174,0.0036,0.0013,0.0002,0.0025,211.435,163.885,119.141,182.07,--,--,2.17,1.943,1.375,1286.568,0.099,0.014,1293.202,--,14210067,31665,8543445,0,185130,15164,2788375,4455,0,0,0,22785177,2993124,2807994,22800341,2977960,0.551,0.001,0.331,0,0.007,0.001,0.108,0,0,0,0,0.884,0.116,0.109,0.884,0.116,2861618,1490,4874405,0,0,9281,0,0,0,0,0,0.369,0,0.629,0,0,0.001,0,0,0,0,0
2021,Avangrid Renewables LLC,AVRN,2126,23298349,8447578,57631738,24218155,6990560,2905926,148,48,7,1384595,50146,5015,1385969,--,0.042,0.033,0.002,396.133,0.007,0.001,396.526,--,0.013,0.011,0.001,118.858,0.002,0,118.976,--,0.095,0.074,0.004,890.985,0.016,0.002,891.869,--,0,0,0.095,0.095,0,0,0.085,0.085,0,0,0.004,0.004,0,0,890.985,890.985,0,0,0.016,0.0161,0,0,0.0016,0.0016,0,0,891.869,891.869,--,--,0,0,0.013,0.013,0,0,0.011,0.011,0,0,0.001,0.001,0,0,118.858,118.858,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,118.976,118.976,--,--,0.106,0.106,0.005,919.725,0.017,0.002,920.646,--,0,0,3108009,0,0,0,3859750,22800,0,0,0,3108009,3882550,3882550,3108009,3882550,0,0,0.445,0,0,0,0.552,0.003,0,0,0,0.445,0.555,0.555,0.445,0.555,0,0,584773,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,Avista Corporation,AVA,2209,25265523,10124809,73699072,30974540,8446561,3489044,1986,815,723,1082784,597533,82777,1102587,--,0.47,0.467,0.171,256.384,0.071,0.01,261.073,--,0.157,0.161,0.057,85.712,0.024,0.003,87.28,--,1.337,1.329,0.487,729.267,0.201,0.028,742.605,--,0,42.687,0.96,0.966,0,42.431,1.148,1.153,0,1.993,0.005,0.006,0,2022.735,883.649,883.81,0,0.062,0.017,0.0167,0,0.0107,0.0017,0.0017,0,2027.49,884.564,884.725,--,--,0,2.908,0.129,0.13,0,2.962,0.142,0.143,0,0.136,0.001,0.001,0,137.786,118.773,118.778,0,0.0042,0.0022,0.0022,0,0.0007,0.0002,0.0002,0,138.11,118.896,118.901,--,--,2.337,2.503,0.826,731.289,0.213,0.031,745.937,--,0,130,2135640,0,4646341,767951,787285,43424,0,65790,0,2201560,6245001,1598660,2969511,5477050,0,0,0.253,0,0.55,0.091,0.093,0.005,0,0.008,0,0.261,0.739,0.189,0.352,0.648,0,294,572996,0,0,422191,0,0,0,0,0,0,0,0.576,0,0,0.424,0,0,0,0,0
2021,Balancing Authority of Northern California,BANC,4899,51457203,24309789,86051052,45491554,10817519,5653025,204,96,32,2991862,109062,10918,2994852,--,0.038,0.034,0.006,553.151,0.01,0.001,553.704,--,0.008,0.008,0.001,116.285,0.002,0,116.402,--,0.059,0.053,0.009,866.514,0.016,0.002,867.38,--,0,0,0.06,0.06,0,0,0.06,0.06,0,0,0.005,0.005,0,0,874.751,874.751,0,0,0.016,0.0159,0,0,0.0016,0.0016,0,0,875.625,875.625,--,--,0,0,0.008,0.008,0,0,0.008,0.008,0,0,0.001,0.001,0,0,118.2,118.2,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,118.318,118.318,--,--,0.096,0.092,0.007,941.021,0.018,0.002,942.005,--,0,876,6775290,0,3265225,129349,0,646779,0,0,0,6776166,4041353,776128,6905515,3912004,0,0,0.626,0,0.302,0.012,0,0.06,0,0,0,0.626,0.374,0.072,0.638,0.362,0,0,2223496,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,Bonneville Power Administration,BPAT,30347,121773496,49752693,810862420,329670027,101563339,40761378,5670,2403,1807,8374238,1268490,184069,8417520,--,0.112,0.118,0.036,164.907,0.012,0.002,165.759,--,0.093,0.097,0.03,137.538,0.01,0.002,138.249,--,0.75,0.792,0.239,1107.317,0.084,0.012,1113.04,--,2.079,0,0.359,0.749,2.308,0,0.336,0.79,0.51,0,0.008,0.122,2445.606,0,846.977,1210.04,0.276,0,0.016,0.0754,0.0402,0,0.0016,0.0104,2464.494,0,847.87,1215.02,--,--,0.178,0,0.05,0.092,0.193,0,0.047,0.096,0.044,0,0.001,0.015,209.76,0,118.58,148.137,0.0237,0,0.0023,0.0092,0.0034,0,0.0002,0.0013,211.38,0,118.705,148.746,--,--,0.798,0.822,0.274,1216.571,0.091,0.013,1222.861,--,3132521,23312,10763947,8511288,68713440,1205666,8907559,212835,92941,0,-170,22430898,79132442,10419001,15125276,86438063,0.031,0,0.106,0.084,0.677,0.012,0.088,0.002,0.001,0,0,0.221,0.779,0.103,0.149,0.851,1624250,0,4219148,0,0,459029,0,0,0,0,0,0.258,0,0.669,0,0,0.073,0,0,0,0,0
2021,California Independent System Operator,CISO,72613,693592413,328211916,1312278351,640636398,170384413,83613269,40857,18382,1360,38473729,4295125,524384,38600006,--,0.48,0.44,0.016,451.611,0.025,0.003,453.093,--,0.118,0.112,0.004,110.94,0.006,0.001,111.305,--,0.955,0.875,0.032,899.149,0.05,0.006,902.1,--,1.169,28.259,0.828,0.844,1.181,29.218,0.798,0.811,0.014,2.009,0.009,0.01,1149.018,1664.414,922.75,923.997,0.131,0.07,0.016,0.0165,0.019,0.0137,0.0016,0.0017,1157.937,1670.238,923.63,924.91,--,--,0.21,2.569,0.106,0.108,0.213,2.822,0.101,0.103,0.003,0.183,0.001,0.001,206.719,151.283,117.991,118.256,0.0235,0.0063,0.0021,0.0021,0.0034,0.0012,0.0002,0.0002,208.324,151.813,118.104,118.373,--,--,0.894,0.815,0.024,1008.097,0.042,0.005,1010.627,--,294154,73410,79167172,16477366,9749225,4822899,14961303,35452953,8165475,974366,246090,97232557,73151855,63402630,85578089,84806323,0.002,0,0.465,0.097,0.057,0.028,0.088,0.208,0.048,0.006,0.001,0.571,0.429,0.372,0.502,0.498,123734,38529,39967934,0,0,1511904,0,0,0,0,0,0.003,0.001,0.96,0,0,0.036,0,0,0,0,0
2021,Chugach Electric Assn Inc,CEA,1049,14591349,5622268,16520307,6431778,2063594,806171,2280,880,29,829575,31419,3142,830436,--,2.21,2.183,0.029,804.01,0.015,0.002,804.844,--,0.313,0.313,0.004,113.708,0.002,0,113.826,--,2.471,2.441,0.032,899.044,0.017,0.002,899.977,--,0,0,2.523,2.523,0,0,2.513,2.513,0,0,0.025,0.025,0,0,917.977,917.977,0,0,0.017,0.0174,0,0,0.0017,0.0017,0,0,918.929,918.929,--,--,0,0,0.321,0.321,0,0,0.322,0.322,0,0,0.003,0.003,0,0,116.889,116.889,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,117.01,117.01,--,--,2.49,2.488,0.033,903.979,0.017,0.002,904.919,--,0,1,1807388,0,176375,38071,41759,0,0,0,0,1807389,256205,79830,1845460,218134,0,0,0.876,0,0.085,0.018,0.02,0,0,0,0,0.876,0.124,0.039,0.894,0.106,0,0,1077927,0,0,26784,0,0,0,0,0,0,0,0.976,0,0,0.024,0,0,0,0,0
