SEQPLT,YEAR,PSTATABB,PNAME,ORISPL,LAT,LON,PLPRMFL,PLFUELCT,NAMEPCAP,COALFLAG,TOTALPOP,RAW_D_INDEX,RAW_D_LING,RAW_D_INCOME,RAW_D_MINOR,RAW_D_OVER64,RAW_D_UNDER5,RAW_D_LESSHS,N_D_INDEX_PER,N_D_LING_PER,N_D_INCOME_PER,N_D_MINOR_PER,N_D_OVER64_PER,N_D_UNDER5_PER,N_D_LESSHS_PER,S_D_INDEX_PER,S_D_LING_PER,S_D_INCOME_PER,S_D_MINOR_PER,S_D_OVER64_PER,S_D_UNDER5_PER,S_D_LESSHS_PER,N_D_INDEX,N_D_LING,N_D_INCOME,N_D_MINOR,N_D_OVER64,N_D_UNDER5,N_D_LESSHS,S_D_INDEX,S_D_LING,S_D_INCOME,S_D_MINOR,S_D_OVER64,S_D_UNDER5,S_D_LESSHS,DISTANCE
1,2021,AK,Agrium Kenai Nitrogen Operations,54452,60.6732,-151.3784,NG,GAS,12.5,,1839,0.22,0,0.26,0.17,0.17,0.05,0.06,36,0,47,36,56,48,40,27,0,56,16,74,37,52,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
2,2021,AK,Alakanuk,57053,62.6833,-164.6544,JF,OIL,0.8,,1073,0.86,0.01,0.72,1,0.07,0.15,0.23,97,59,94,97,15,96,84,99,64,98,99,20,96,96,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
3,2021,AK,Allison Creek Hydro,58982,61.084444,-146.353333,WAT,HYDRO,6.5,,31,0.27,0,0.13,0.4,0.41,0,0.05,46,0,24,59,96,0,37,45,0,24,55,99,0,46,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
4,2021,AK,Ambler,60243,67.08798,-157.856719,DFO,OIL,1.1,,231,0.8,0.07,0.68,0.92,0.11,0.11,0.21,95,79,93,90,32,87,82,97,87,97,95,44,83,94,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
5,2021,AK,Angoon,7462,57.499166,-134.58614,DFO,OIL,1.5,,245,0.51,0.01,0.35,0.67,0.18,0.04,0.06,75,58,62,77,61,44,40,83,63,77,82,80,33,53,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
6,2021,AK,Aniak,7182,61.580678,-159.535643,DFO,OIL,2.2,,489,0.72,0.01,0.55,0.88,0.08,0.11,0.19,91,57,84,88,20,90,78,94,59,94,93,26,87,92,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
7,2021,AK,Annex Creek,62,58.3176,-134.101,WAT,HYDRO,4,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
8,2021,AK,Auke Bay,7250,58.3875,-134.6446,DFO,OIL,36.2,,13118,0.21,0.03,0.1,0.32,0.13,0.06,0.05,34,68,16,52,39,57,33,25,77,16,43,54,48,40,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
9,2021,AK,Aurora Energy LLC Chena,79,64.847743,-147.735063,SUB,COAL,27.5,Yes,33387,0.35,0.05,0.28,0.4,0.11,0.08,0.07,58,74,51,59,32,75,43,62,82,63,55,45,70,59,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
10,2021,AK,Barrow,7173,71.292,-156.7786,NG,GAS,20.3,,4296,0.59,0.08,0.26,0.92,0.08,0.08,0.14,82,81,48,90,20,77,67,90,90,57,95,27,73,86,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
11,2021,AK,Battery Energy Storage System,57583,64.8167,-147.725,MWH,OTHF,40,,26372,0.34,0.04,0.28,0.4,0.11,0.09,0.07,58,72,51,59,33,79,43,61,81,63,55,48,74,59,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
12,2021,AK,Beaver Falls,6580,55.37975,-131.470269,WAT,HYDRO,5.4,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
13,2021,AK,Beluga,96,61.1861,-151.0356,NG,GAS,312.4,,35,0.66,0.02,0.49,0.82,0.02,0.04,0.02,87,61,79,84,4,36,15,93,67,91,91,4,24,18,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
14,2021,AK,Bernice Lake,6292,60.6935,-151.3874,NG,GAS,76.7,,1726,0.27,0,0.32,0.21,0.17,0.06,0.06,45,0,57,40,57,62,40,45,0,70,23,75,53,53,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
15,2021,AK,Bethel,6566,60.7897,-161.787778,DFO,OIL,12.6,,6064,0.54,0.04,0.3,0.78,0.07,0.07,0.07,78,71,53,82,14,69,42,85,80,65,89,18,63,56,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
16,2021,AK,Black Bear Lake,7752,55.476472,-133.14772,WAT,HYDRO,4.5,,1228,0.32,0,0.27,0.37,0.16,0.07,0.08,54,0,49,57,54,70,47,56,0,60,51,72,64,62,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
17,2021,AK,Blue Lake Hydro,93,57.0516,-135.2297,WAT,HYDRO,15.9,,1864,0.24,0.02,0.12,0.36,0.11,0.04,0.06,41,63,21,56,31,39,39,35,71,21,49,44,27,52,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
18,2021,AK,Bradley Lake,7367,59.77862,-150.94015,WAT,HYDRO,126,,3,0.41,0.01,0.24,0.57,0.2,0.03,0.07,65,57,44,71,69,29,43,73,60,52,76,85,19,57,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
19,2021,AK,Brevig Mission,60260,65.331716,-166.479506,DFO,OIL,1,,411,0.8,0.01,0.65,0.95,0.08,0.1,0.2,95,58,91,92,19,86,80,96,64,96,97,25,82,93,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
20,2021,AK,Centennial,7112,55.121433,-131.560267,DFO,OIL,3.3,,1554,0.65,0,0.4,0.91,0.13,0.04,0.08,86,0,69,89,39,38,50,93,0,83,94,55,27,66,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
21,2021,AK,Chester Lake,7168,55.116879,-131.545879,WAT,HYDRO,1.3,,1554,0.65,0,0.4,0.91,0.13,0.04,0.08,86,0,69,89,39,38,50,93,0,83,94,55,27,66,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
22,2021,AK,Chevak,6311,61.525297,-165.590152,DFO,OIL,1.8,,683,0.83,0.02,0.74,0.92,0.06,0.14,0.17,96,62,95,90,11,94,74,98,71,98,96,13,94,90,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
23,2021,AK,Cooper Lake,6291,60.392331,-149.665603,WAT,HYDRO,19.4,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
24,2021,AK,Craig (AK),421,55.47691,-133.14869,DFO,OIL,4.6,,1228,0.32,0,0.27,0.37,0.16,0.07,0.08,54,0,49,57,54,70,47,56,0,60,51,72,64,62,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.33,0.02,0.25,0.4,0.12,0.07,0.07,3
