YEAR,SUBRGN,SRNAME,SRNAMEPCAP,SRHTIAN,SRHTIOZ,SRHTIANT,SRHTIOZT,SRNGENAN,SRNGENOZ,SRNOXAN,SRNOXOZ,SRSO2AN,SRCO2AN,SRCH4AN,SRN2OAN,SRCO2EQA,SRHGAN,SRNOXRTA,SRNOXRTO,SRSO2RTA,SRCO2RTA,SRCH4RTA,SRN2ORTA,SRC2ERTA,SRHGRTA,SRNOXRA,SRNOXRO,SRSO2RA,SRCO2RA,SRCH4RA,SRN2ORA,SRC2ERA,SRHGRA,SRNOXCRT,SRNOXCRO,SRSO2CRT,SRCO2CRT,SRCH4CRT,SRN2OCRT,SRC2ECRT,SRHGCRT,SRCNOXRT,SRONOXRT,SRGNOXRT,SRFSNXRT,SRCNXORT,SRONXORT,SRGNXORT,SRFSNORT,SRCSO2RT,SROSO2RT,SRGSO2RT,SRFSS2RT,SRCCO2RT,SROCO2RT,SRGCO2RT,SRFSC2RT,SRCCH4RT,SROCH4RT,SRGCH4RT,SRFCH4RT,SRCN2ORT,SRON2ORT,SRGN2ORT,SRFN2ORT,SRCC2ERT,SROC2ERT,SRGC2ERT,SRFSC2ERT,SRCHGRT,SRFSHGRT,SRCNOXR,SRONOXR,SRGNOXR,SRFSNXR,SRCNXOR,SRONXOR,SRGNXOR,SRFSNOR,SRCSO2R,SROSO2R,SRGSO2R,SRFSS2R,SRCCO2R,SROCO2R,SRGCO2R,SRFSC2R,SRCCH4R,SROCH4R,SRGCH4R,SRFCH4R,SRCN2OR,SRON2OR,SRGN2OR,SRFN2OR,SRCC2ER,SROC2ER,SRGC2ER,SRFSC2ER,SRCHGR,SRFSHGR,SRNBNOX,SRNBNXO,SRNBSO2,SRNBCO2,SRNBCH4,SRNBN2O,SRNBC2E,SRNBHG,SRGENACL,SRGENAOL,SRGENAGS,SRGENANC,SRGENAHY,SRGENABM,SRGENAWI,SRGENASO,SRGENAGT,SRGENAOF,SRGENAOP,SRGENATN,SRGENATR,SRGENATH,SRGENACY,SRGENACN,SRCLPR,SROLPR,SRGSPR,SRNCPR,SRHYPR,SRBMPR,SRWIPR,SRSOPR,SRGTPR,SROFPR,SROPPR,SRTNPR,SRTRPR,SRTHPR,SRCYPR,SRCNPR,SRNBGNCL,SRNBGNOL,SRNBGNGS,SRNBGNNC,SRNBGNHY,SRNBGNBM,SRNBGNWI,SRNBGNSO,SRNBGNGT,SRNBGNOF,SRNBGNOP,SRNBCLPR,SRNBOLPR,SRNBGSPR,SRNBNCPR,SRNBHYPR,SRNBBMPR,SRNBWIPR,SRNBSOPR,SRNBGTPR,SRNBOFPR,SRNBOPPR
2021,AKGD,ASCC Alaska Grid,2124,36915777,14675642,42835758,17153366,4923740,1968663,13649,5873,928,2628490,450096,61196,2643234,--,5.544,5.967,0.377,1067.68,0.091,0.012,1073.669,--,0.739,0.8,0.05,142.405,0.012,0.002,143.203,--,6.417,6.906,0.436,1235.69,0.106,0.014,1242.622,--,1.907,7.847,7.414,6.469,1.779,7.947,8.278,7.009,0.938,2.213,0.026,0.437,2274.583,1435.591,953.282,1245.833,0.2564,0.424,0.018,0.1067,0.0373,0.0577,0.0018,0.0145,2292.122,1463.395,954.269,1252.822,--,--,0.178,0.919,0.909,0.748,0.169,0.915,1.014,0.809,0.088,0.259,0.003,0.05,212.862,168.214,116.889,143.953,0.024,0.0497,0.0022,0.0123,0.0035,0.0068,0.0002,0.0017,214.503,171.472,117.01,144.761,--,--,6.604,7.173,0.524,1229.641,0.12,0.016,1237.515,--,752894,482672,2984081,0,567393,38071,102061,0,0,0,-3433,4216215,707525,140132,4254286,669454,0.153,0.098,0.606,0,0.115,0.008,0.021,0,0,0,0,0.856,0.144,0.028,0.864,0.136,412967,402349,1661219,0,0,26784,0,0,0,0,0,0.165,0.161,0.664,0,0,0.011,0,0,0,0,0
2021,AKMS,ASCC Miscellaneous,920,5366566,2144532,15550676,6369806,1672078,683463,6381,2414,566,405635,41730,7098,407214,--,7.633,7.063,0.676,485.186,0.025,0.004,487.075,--,2.378,2.251,0.211,151.171,0.008,0.001,151.76,--,24.524,22.694,2.173,1558.873,0.08,0.014,1564.942,--,0,28.625,4.73,24.203,0,28.306,4.73,23.133,0,2.621,0.046,2.144,0,1508.157,1687.766,1541.398,0,0.0902,0.0318,0.0794,0,0.0158,0.0032,0.0135,0,1515.132,1689.511,1547.404,--,--,0,3.098,0.328,2.372,0,3.096,0.328,2.245,0,0.284,0.003,0.21,0,163.218,116.889,151.083,0,0.0098,0.0022,0.0078,0,0.0017,0.0002,0.0013,0,163.973,117.01,151.672,--,--,24.568,23.467,2.138,1531.318,0.066,0.012,1536.461,--,0,419813,101315,0,1121507,0,30151,0,0,0,-708,520420,1151658,30151,520420,1151658,0,0.251,0.061,0,0.671,0,0.018,0,0,0,0,0.311,0.689,0.018,0.311,0.689,0,392213,90089,0,0,0,0,0,0,0,0,0,0.813,0.187,0,0,0,0,0,0,0,0
2021,AZNM,WECC Southwest,51067,931148054,468950212,1197035157,586069139,167984970,81063461,38905,19227,10712,68844906,8701023,1203010,69132917,--,0.463,0.474,0.128,819.656,0.052,0.007,823.085,--,0.084,0.082,0.023,147.871,0.009,0.001,148.49,--,0.733,0.751,0.202,1297.38,0.082,0.011,1302.808,--,1.581,17.452,0.418,0.728,1.563,17.6,0.427,0.705,0.736,6.097,0.006,0.201,2331.892,3237.548,921.202,1296.814,0.2476,0.1311,0.0153,0.0771,0.036,0.0262,0.0015,0.0107,2348.803,3248.645,922.039,1301.931,--,--,0.139,0.88,0.054,0.083,0.137,0.878,0.055,0.082,0.064,0.308,0.001,0.023,204.479,163.326,118.729,148.557,0.0217,0.0066,0.002,0.0088,0.0032,0.0013,0.0002,0.0012,205.962,163.886,118.837,149.143,--,--,0.664,0.644,0.162,1227.625,0.067,0.009,1231.997,--,26836891,87445,78594979,31629862,5683092,591774,8739947,10050113,5752841,269,17756,137167203,30817767,25134675,106129114,61855855,0.16,0.001,0.468,0.188,0.034,0.004,0.052,0.06,0.034,0,0,0.817,0.183,0.15,0.632,0.368,13006465,62,46753659,0,0,119458,0,0,0,0,0,0.217,0,0.781,0,0,0.002,0,0,0,0,0
2021,CAMX,WECC California,89051,910487207,439901147,1597475251,789666606,204553916,101534037,53165,25129,3842,54378370,6433505,821401,54575632,--,0.52,0.495,0.038,531.678,0.031,0.004,533.606,--,0.117,0.114,0.008,119.449,0.007,0.001,119.882,--,0.949,0.903,0.069,970.144,0.057,0.007,973.663,--,2.742,28.259,0.699,0.862,2.823,29.218,0.665,0.855,0.613,2.009,0.009,0.055,1972.586,1664.414,918.769,997.972,0.2369,0.0695,0.0162,0.0327,0.0345,0.0137,0.0016,0.0041,1988.779,1670.238,919.656,1000.006,--,--,0.285,2.569,0.09,0.109,0.304,2.822,0.085,0.107,0.064,0.183,0.001,0.007,205.234,151.283,117.955,125.898,0.0246,0.0063,0.0021,0.0041,0.0036,0.0012,0.0002,0.0005,206.919,151.813,118.069,126.154,--,--,0.849,0.796,0.057,1047.515,0.049,0.006,1050.551,--,7855352,93721,97166849,16477366,13437119,5041119,15792024,38578241,8165475,1538572,408077,123539938,81013978,67576859,112103690,92450225,0.038,0,0.475,0.081,0.066,0.025,0.077,0.189,0.04,0.008,0.002,0.604,0.396,0.33,0.548,0.452,3564552,38529,51534365,0,0,1587533,0,0,0,0,0,0.063,0.001,0.908,0,0,0.028,0,0,0,0,0
2021,ERCT,ERCOT All,130411,2265447510,1160897226,3217963070,1535022411,421638208,200067306,99484,47461,123712,171512267,22927901,3195031,172274925,--,0.472,0.474,0.587,813.552,0.054,0.008,817.169,--,0.088,0.082,0.109,151.416,0.01,0.001,152.089,--,0.726,0.73,0.903,1252.384,0.084,0.012,1257.953,--,1.109,3.909,0.586,0.727,1.083,3.874,0.535,0.678,3.172,9.809,0.007,0.903,2256.778,2155.877,869.878,1256.382,0.2555,0.0534,0.0159,0.0832,0.0371,0.0092,0.0016,0.0116,2274.233,2159.953,870.751,1261.913,--,--,0.103,0.313,0.08,0.088,0.101,0.309,0.072,0.082,0.295,0.785,0.001,0.109,210.069,172.563,118.445,151.959,0.0238,0.0043,0.0022,0.0101,0.0035,0.0007,0.0002,0.0014,211.694,172.889,118.564,152.628,--,--,0.773,0.701,0.728,1177.373,0.065,0.009,1181.606,--,74510144,261482,196134770,40211257,684520,773485,92100199,14744933,0,1799766,417652,313335071,108303137,107618617,273897299,147740909,0.177,0.001,0.465,0.095,0.002,0.002,0.218,0.035,0,0.004,0.001,0.743,0.257,0.255,0.65,0.35,26009615,135695,103787074,0,0,221809,0,0,0,1976369,0,0.197,0.001,0.785,0,0,0.002,0,0,0,0.015,0
2021,FRCC,FRCC All,67680,1536122344,744049144,1623161714,780316510,237351634,113592304,33903,15549,19854,98847877,12635070,1656408,99252620,--,0.286,0.274,0.167,832.924,0.053,0.007,836.334,--,0.044,0.042,0.026,128.698,0.008,0.001,129.225,--,0.338,0.324,0.198,986.528,0.063,0.008,990.568,--,0.513,10.492,0.182,0.241,0.485,10.424,0.181,0.234,0.81,2.102,0.043,0.177,1585.258,1549.255,858.938,986.226,0.1426,0.0801,0.0186,0.0404,0.0204,0.016,0.002,0.0053,1594.899,1556.019,860.015,988.803,--,--,0.055,1.104,0.026,0.032,0.052,1.251,0.025,0.031,0.087,0.221,0.006,0.024,170.389,163.044,120.411,131.256,0.0153,0.0084,0.0026,0.0054,0.0022,0.0017,0.0003,0.0007,171.425,163.755,120.562,131.599,--,--,0.354,0.339,0.204,1016.511,0.054,0.007,1019.969,--,18374988,1155056,174502495,28058287,251607,3666177,0,8646287,0,1633386,1063349,224787562,12564071,12312464,200395453,36956181,0.077,0.005,0.735,0.118,0.001,0.015,0,0.036,0,0.007,0.004,0.947,0.053,0.052,0.844,0.156,16757432,9938,83195682,0,0,1709380,0,0,0,0,0,0.165,0,0.818,0,0,0.017,0,0,0,0,0
2021,HIMS,HICC Miscellaneous,1045,18937391,7730992,26362232,10986403,2616354,1123052,9390,3930,3894,1483984,353827,53841,1496429,--,7.178,6.998,2.976,1134.391,0.135,0.021,1143.904,--,0.992,1.017,0.411,156.725,0.019,0.003,158.04,--,10.57,10.306,4.383,1670.472,0.199,0.03,1684.481,--,0,10.787,0,10.787,0,10.618,0,10.618,0,4.488,0,4.488,0,1690.098,0,1690.098,0,0.175,0,0.175,0,0.0272,0,0.0272,0,1702.592,0,1702.592,--,--,0,1.025,0,1.025,0,1.011,0,1.011,0,0.427,0,0.427,0,160.617,0,160.617,0,0.0166,0,0.0166,0,0.0026,0,0.0026,0,161.804,0,161.804,--,--,11.266,11.077,4.199,1649.353,0.176,0.027,1661.915,--,0,1683592,0,0,114971,95914,386781,154486,183391,0,-2781,1680811,935543,820572,1776725,839629,0,0.643,0,0,0.044,0.037,0.148,0.059,0.07,0,0,0.642,0.358,0.314,0.679,0.321,0,1295485,0,0,0,21176,0,0,0,0,0,0,0.984,0,0,0,0.016,0,0,0,0,0
2021,HIOA,HICC Oahu,2220,64330749,27486168,69836558,30020167,6564236,2850279,12867,5541,21440,5360016,1156250,176266,5400732,--,3.92,3.888,6.532,1633.097,0.176,0.027,1645.502,--,0.4,0.403,0.667,166.639,0.018,0.003,167.905,--,4.331,4.296,7.217,1804.227,0.195,0.03,1817.933,--,2.825,4.534,0,4.193,2.779,4.579,0,4.217,5.228,8.318,0,7.702,2393.72,1638.066,0,1788.702,0.2855,0.0764,0,0.1181,0.0414,0.0145,0,0.0199,2413.186,1644.31,0,1797.582,--,--,0.252,0.452,0,0.409,0.249,0.46,0,0.413,0.467,0.829,0,0.751,213.892,163.316,0,174.311,0.0255,0.0076,0,0.0115,0.0037,0.0014,0,0.0019,215.632,163.938,0,175.177,--,--,4.472,4.451,7.796,1784.006,0.172,0.027,1796.311,--,1084555,4471615,0,0,0,186724,271110,351508,0,198725,0,5754895,809342,809342,5941618,622618,0.165,0.681,0,0,0,0.028,0.041,0.054,0,0.03,0,0.877,0.123,0.123,0.905,0.095,327427,3078536,0,0,0,258084,0,0,0,0,0,0.089,0.84,0,0,0,0.07,0,0,0,0,0
2021,MROE,MRO East,8178,219619275,112466698,239335538,120288096,24114781,11484134,11089,5723,4736,19076416,3573181,520813,19198682,--,0.92,0.997,0.393,1582.135,0.148,0.022,1592.275,--,0.101,0.102,0.043,173.723,0.016,0.002,174.836,--,1.013,1.098,0.433,1743.317,0.163,0.024,1754.491,--,0.761,1.019,1.341,0.976,0.79,0.992,1.501,1.046,0.506,2.31,0.071,0.367,2198.654,1564.183,1167.079,1814.125,0.2487,0.2445,0.0202,0.1651,0.0362,0.0354,0.0023,0.0238,2215.649,1580.845,1168.268,1825.336,--,--,0.072,0.102,0.137,0.095,0.074,0.098,0.136,0.097,0.048,0.23,0.007,0.036,209.481,155.94,119.621,177.507,0.0237,0.0244,0.0021,0.0162,0.0034,0.0035,0.0002,0.0023,211.101,157.601,119.743,178.604,--,--,1.161,1.237,0.37,1555.943,0.133,0.019,1565.03,--,13113745,277670,7752646,0,1179386,725508,748679,301525,0,15623,0,21159683,2955098,1775712,21885192,2229590,0.544,0.012,0.321,0,0.049,0.03,0.031,0.013,0,0.001,0,0.877,0.123,0.074,0.908,0.092,4991718,226752,5256191,0,0,567693,0,0,0,0,0,0.452,0.021,0.476,0,0,0.051,0,0,0,0,0
2021,MROW,MRO West,75973,1250354417,598639763,2109625205,916383987,242821306,104662081,91542,42994,119065,120899511,25992944,3757128,121781406,--,0.754,0.822,0.981,995.79,0.107,0.015,1003.054,--,0.146,0.144,0.19,193.384,0.021,0.003,194.795,--,1.464,1.596,1.905,1934.159,0.208,0.03,1948.268,--,1.659,7.392,0.521,1.438,1.645,4.967,0.492,1.407,2.414,1.087,0.02,1.919,2226.49,1093.232,962.897,1964.276,0.2517,0.3487,0.019,0.2042,0.0366,0.048,0.002,0.0295,2243.693,1096.512,963.966,1978.132,--,--,0.157,0.965,0.064,0.143,0.157,0.888,0.06,0.141,0.229,0.142,0.002,0.191,211.408,142.744,118.431,195.806,0.0239,0.0455,0.0023,0.0204,0.0035,0.0063,0.0002,0.0029,213.041,143.172,118.563,197.187,--,--,1.43,1.381,1.715,1808.282,0.183,0.026,1820.619,--,96229386,419424,25828070,21003393,10624697,1826505,83948227,2229935,0,327107,384564,144191943,98629364,88004667,125015055,117806252,0.396,0.002,0.106,0.086,0.044,0.008,0.346,0.009,0,0.001,0.002,0.594,0.406,0.362,0.515,0.485,41364341,287254,18770211,0,0,818009,0,0,0,0,0,0.675,0.005,0.307,0,0,0.013,0,0,0,0,0
