YEAR,PSTATABB,FIPSST,STNAMEPCAP,STHTIAN,STHTIOZ,STHTIANT,STHTIOZT,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STCH4RA,STN2ORA,STC2ERA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STC2ECRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCCH4RT,STOCH4RT,STGCH4RT,STFCH4RT,STCN2ORT,STON2ORT,STGN2ORT,STFN2ORT,STCC2ERT,STOC2ERT,STGC2ERT,STFSC2ERT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCCH4R,STOCH4R,STGCH4R,STFCH4R,STCN2OR,STON2OR,STGN2OR,STFN2OR,STCC2ER,STOC2ER,STGC2ER,STFSC2ER,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBC2E,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR,STNBGNCL,STNBGNOL,STNBGNGS,STNBGNNC,STNBGNHY,STNBGNBM,STNBGNWI,STNBGNSO,STNBGNGT,STNBGNOF,STNBGNOP,STNBCLPR,STNBOLPR,STNBGSPR,STNBNCPR,STNBHYPR,STNBBMPR,STNBWIPR,STNBSOPR,STNBGTPR,STNBOFPR,STNBOPPR
2021,AK,2,3044,42282343,16820174,58386434,23523172,6595818,2652126,20031,8287,1493,3034124,491826,68294,3050448,--,6.074,6.249,0.453,920.015,0.075,0.01,924.964,--,0.947,0.985,0.071,143.517,0.012,0.002,144.289,--,8.39,8.633,0.625,1270.916,0.103,0.014,1277.753,--,1.907,17.671,7.33,8.422,1.779,17.917,8.147,8.779,0.938,2.406,0.027,0.625,2274.583,1469.902,976.325,1278.385,0.2564,0.2662,0.0185,0.1037,0.0373,0.0379,0.0018,0.0144,2292.122,1487.857,977.336,1285.265,--,--,0.178,1.993,0.878,0.954,0.169,2.011,0.97,0.992,0.088,0.271,0.003,0.071,212.862,165.753,116.889,144.861,0.024,0.03,0.0022,0.0117,0.0035,0.0043,0.0002,0.0016,214.503,167.777,117.01,145.641,--,--,9.506,9.825,0.784,1278.374,0.112,0.016,1285.808,--,752894,902486,3085396,0,1688900,38071,132212,0,0,0,-4141,4736635,1859183,170283,4774706,1821112,0.114,0.137,0.467,0,0.256,0.006,0.02,0,0,0,0,0.718,0.282,0.026,0.724,0.276,412967,794562,1751308,0,0,26784,0,0,0,0,0,0.138,0.266,0.587,0,0,0.009,0,0,0,0,0
2021,AL,1,30232,697457079,315467321,803703982,358056946,142731861,63027592,17450,7670,9534,53581535,7888025,1157485,53843989,--,0.245,0.243,0.134,750.8,0.055,0.008,754.477,--,0.05,0.049,0.027,153.648,0.011,0.002,154.401,--,0.412,0.41,0.225,1265.498,0.093,0.014,1271.696,--,0.681,55.996,0.176,0.403,0.659,55.905,0.163,0.394,0.336,5.314,0.005,0.154,1913.412,2993.7,819.893,1312.066,0.1834,0.1212,0.0185,0.0927,0.0265,0.0242,0.0022,0.0131,1925.883,3003.955,820.74,1318.145,--,--,0.068,3.055,0.025,0.048,0.066,3.054,0.023,0.047,0.034,0.29,0.001,0.018,191.182,163.325,117.225,157.118,0.0183,0.0066,0.0026,0.0111,0.0026,0.0013,0.0003,0.0016,192.428,163.885,117.346,157.846,--,--,0.388,0.382,0.258,1105.715,0.057,0.008,1109.458,--,26900909,21915,54446405,46036489,11520809,3311245,0,493995,0,65,28,127405811,15326049,3805240,84680567,58051293,0.188,0,0.381,0.323,0.081,0.023,0,0.003,0,0,0,0.893,0.107,0.027,0.593,0.407,9449308,446,17623781,0,0,796503,0,0,0,0,0,0.339,0,0.632,0,0,0.029,0,0,0,0,0
2021,AR,5,16480,387772615,194774339,427486183,215852803,61100068,29554304,17007,9205,35352,33205768,5556226,807639,33395559,--,0.557,0.623,1.157,1086.931,0.091,0.013,1093.143,--,0.088,0.095,0.182,171.264,0.014,0.002,172.243,--,0.792,0.886,1.645,1545.543,0.129,0.019,1554.376,--,1.378,32.238,0.168,0.788,1.402,32.583,0.2,0.88,3.152,2.905,0.014,1.621,2249.764,1637.159,880.243,1581.603,0.2406,0.0663,0.0162,0.1311,0.035,0.0133,0.0016,0.0187,2266.213,1642.762,881.13,1590.46,--,--,0.128,3.216,0.023,0.087,0.129,3.211,0.027,0.094,0.294,0.29,0.002,0.178,209.726,163.327,118.941,173.722,0.0224,0.0066,0.0022,0.0144,0.0033,0.0013,0.0002,0.0021,211.26,163.886,119.061,174.695,--,--,0.865,0.97,2.001,1535.063,0.125,0.018,1543.595,--,21418877,55532,20629134,13555684,4112385,858604,0,462281,0,8019,-447,55666798,5433270,1320885,42969718,18130350,0.351,0.001,0.338,0.222,0.067,0.014,0,0.008,0,0,0,0.911,0.089,0.022,0.703,0.297,10871647,126,11463460,0,0,635033,0,0,0,0,0,0.473,0,0.499,0,0,0.028,0,0,0,0,0
2021,AZ,4,31007,540536625,277925681,666850621,336583580,108500973,52833343,18971,9437,7624,39321233,4607967,637144,39473767,--,0.35,0.357,0.141,724.809,0.042,0.006,727.621,--,0.07,0.068,0.028,145.49,0.009,0.001,146.054,--,0.607,0.62,0.244,1258.357,0.074,0.01,1263.238,--,1.687,17.452,0.243,0.602,1.709,17.6,0.233,0.574,0.962,6.097,0.006,0.243,2320.201,3237.548,912.75,1262.149,0.2433,0.1311,0.0137,0.0707,0.0353,0.0262,0.0014,0.0098,2336.809,3248.645,913.5,1266.835,--,--,0.147,0.88,0.032,0.07,0.149,0.878,0.031,0.068,0.084,0.308,0.001,0.028,202.366,163.326,118.731,146.33,0.0212,0.0066,0.0018,0.0082,0.0031,0.0013,0.0002,0.0011,203.814,163.886,118.829,146.873,--,--,0.537,0.506,0.197,1218.819,0.063,0.009,1222.965,--,14300572,43534,47949486,31629862,6063749,210116,1600319,6710877,0,0,-7543,93915911,14585062,8521313,62496165,46004807,0.132,0,0.442,0.291,0.056,0.002,0.015,0.062,0,0,0,0.866,0.134,0.079,0.576,0.424,8047539,62,28624239,0,0,3421,0,0,0,0,0,0.219,0,0.78,0,0,0,0,0,0,0,0
2021,CA,6,86752,843482855,404280744,1526424654,750707288,196943760,97201899,42854,19286,1496,47168503,4978848,604324,47315238,--,0.435,0.397,0.015,479.005,0.025,0.003,480.495,--,0.102,0.095,0.004,111.842,0.006,0.001,112.19,--,0.817,0.745,0.029,898.866,0.047,0.006,901.663,--,1.169,28.259,0.7,0.713,1.181,29.218,0.666,0.677,0.014,2.009,0.009,0.01,1149.018,1664.414,920.329,921.356,0.1306,0.0695,0.0162,0.0166,0.019,0.0137,0.0016,0.0017,1157.937,1670.238,921.217,922.272,--,--,0.21,2.569,0.09,0.091,0.213,2.822,0.085,0.086,0.003,0.183,0.001,0.001,206.719,151.283,117.958,118.175,0.0235,0.0063,0.0021,0.0021,0.0034,0.0012,0.0002,0.0002,208.324,151.813,118.072,118.293,--,--,0.728,0.656,0.02,986.799,0.038,0.005,989.106,--,294154,76209,97240771,16477366,14358237,5395519,15177006,34852509,11127544,1538842,405603,116032944,80910815,66552578,104951097,91992662,0.001,0,0.494,0.084,0.073,0.027,0.077,0.177,0.057,0.008,0.002,0.589,0.411,0.338,0.533,0.467,123734,38529,51496163,0,0,1704015,0,0,0,0,0,0.002,0.001,0.965,0,0,0.032,0,0,0,0,0
2021,CO,8,20106,388007263,175799196,551632774,241861740,56832574,25089419,18070,7689,10424,34580216,6413185,918830,34797287,--,0.636,0.613,0.367,1216.915,0.113,0.016,1224.554,--,0.093,0.087,0.054,178.245,0.017,0.002,179.364,--,0.941,0.907,0.543,1800.115,0.167,0.024,1811.414,--,1.234,21.921,0.425,0.937,1.162,23.244,0.431,0.869,0.861,4.389,0.018,0.545,2254.291,2365.436,1073.983,1810.685,0.2508,0.0958,0.024,0.1655,0.0365,0.0192,0.0026,0.0237,2271.424,2373.541,1075.372,1821.898,--,--,0.114,1.514,0.048,0.093,0.108,1.543,0.049,0.087,0.079,0.303,0.002,0.054,207.675,163.326,121.214,179.167,0.0231,0.0066,0.0027,0.0164,0.0034,0.0013,0.0003,0.0023,209.253,163.885,121.371,180.277,--,--,0.83,0.777,0.399,1609.325,0.127,0.018,1617.894,--,23602042,27809,14559773,0,1562810,169082,15125697,1724051,0,6452,54858,38250934,18581640,17018830,38420016,18412558,0.415,0,0.256,0,0.027,0.003,0.266,0.03,0,0,0.001,0.673,0.327,0.299,0.676,0.324,9849195,5508,11459813,0,0,38937,0,0,0,5963,0,0.461,0,0.537,0,0,0.002,0,0,0,0,0
2021,CT,9,11374,193696484,85241477,203296620,88705058,44079944,19169332,5038,2147,738,11353743,2102247,265684,11419608,--,0.229,0.224,0.034,515.143,0.048,0.006,518.132,--,0.052,0.05,0.008,117.232,0.011,0.001,117.912,--,0.386,0.378,0.057,869.769,0.081,0.01,874.815,--,0,9.69,0.184,0.201,0,5.487,0.174,0.192,0,3.909,0.03,0.037,0,3602.235,821.721,826.786,0,0.1127,0.0179,0.018,0,0.0203,0.0019,0.002,0,3611.104,822.74,827.819,--,--,0,0.395,0.027,0.029,0,0.271,0.025,0.028,0,0.159,0.004,0.005,0,146.897,120.276,120.449,0,0.0046,0.0026,0.0026,0,0.0008,0.0003,0.0003,0,147.259,120.425,120.6,--,--,0.461,0.431,0.093,915.025,0.072,0.009,919.56,--,244647,45950,24488902,17216509,478004,756854,12758,265188,0,571202,-70,42567139,1512804,1034800,26107484,17972459,0.006,0.001,0.556,0.391,0.011,0.017,0,0.006,0,0.013,0,0.966,0.034,0.023,0.592,0.408,0,46325,7450083,0,0,253899,0,0,0,0,0,0,0.006,0.961,0,0,0.033,0,0,0,0,0
2021,DC,11,52,1454077,662109,1615629,749753,184480,86248,268,119,3,60110,3259,326,60200,--,2.91,2.769,0.033,651.672,0.018,0.002,652.641,--,0.369,0.361,0.004,82.678,0.002,0,82.801,--,3.23,3.073,0.036,723.303,0.02,0.002,724.378,--,0,0,2.685,2.685,0,0,2.68,2.68,0,0,0.03,0.03,0,0,1088.243,1088.243,0,0,0.0205,0.0205,0,0,0.0021,0.0021,0,0,1089.369,1089.369,--,--,0,0,0.288,0.288,0,0,0.289,0.289,0,0,0.003,0.003,0,0,116.889,116.889,0,0,0.0022,0.0022,0,0,0.0002,0.0002,0,0,117.01,117.01,--,--,3.679,3.522,0.041,394.983,0.018,0.002,395.983,--,0,38,110451,0,0,55721,0,18269,0,0,0,110489,73990,73990,166211,18269,0,0,0.599,0,0,0.302,0,0.099,0,0,0,0.599,0.401,0.401,0.901,0.099,0,0,20047,0,0,32254,0,0,0,0,0,0,0,0.383,0,0,0.617,0,0,0,0,0
2021,DE,10,3599,29420899,18122130,31497128,19259139,4305126,2475340,785,445,681,1867344,173528,22520,1872868,--,0.364,0.359,0.317,867.498,0.04,0.005,870.064,--,0.053,0.049,0.046,126.94,0.006,0.001,127.316,--,0.37,0.365,0.321,880.168,0.041,0.005,882.772,--,1.288,0.817,0.234,0.378,1.138,0.772,0.255,0.384,4.481,0.108,0.009,0.408,2717.722,1537.17,863.166,1085.185,0.3898,0.0273,0.0161,0.0497,0.0569,0.0028,0.0016,0.0065,2744.416,1538.7,864.052,1088.378,--,--,0.097,0.063,0.032,0.046,0.089,0.06,0.034,0.045,0.338,0.008,0.001,0.049,204.978,119.379,118.96,131.022,0.0294,0.0021,0.0022,0.006,0.0043,0.0002,0.0002,0.0008,206.992,119.498,119.082,131.407,--,--,0.424,0.416,0.382,988.84,0.048,0.006,991.889,--,276729,16747,3734203,0,0,73648,4849,57126,0,141823,0,4169503,135623,135623,4243151,61975,0.064,0.004,0.867,0,0,0.017,0.001,0.013,0,0.033,0,0.968,0.032,0.032,0.986,0.014,285010,292729,2186143,0,0,18313,0,0,0,0,0,0.102,0.105,0.786,0,0,0.007,0,0,0,0,0
2021,FL,12,71335,1604136404,775999534,1694605471,813898150,246185265,117651669,37370,16966,20666,102676195,12840570,1687068,103088075,--,0.304,0.288,0.168,834.138,0.052,0.007,837.484,--,0.047,0.044,0.026,128.014,0.008,0.001,128.528,--,0.358,0.34,0.198,983.294,0.061,0.008,987.239,--,0.513,10.492,0.213,0.264,0.485,10.424,0.205,0.253,0.81,2.102,0.041,0.171,1585.258,1549.255,864.497,985.847,0.1426,0.0801,0.0186,0.0395,0.0204,0.016,0.002,0.0051,1594.899,1556.019,865.569,988.362,--,--,0.055,1.104,0.03,0.035,0.052,1.251,0.029,0.034,0.087,0.221,0.006,0.023,170.389,163.044,120.314,130.714,0.0153,0.0084,0.0026,0.0052,0.0022,0.0017,0.0003,0.0007,171.425,163.755,120.463,131.047,--,--,0.386,0.363,0.203,1021.173,0.054,0.007,1024.598,--,18384804,1162018,182369321,28058287,251607,4227877,0,9034130,0,1633872,1063349,232671651,13513614,13262007,208841241,37344024,0.075,0.005,0.741,0.114,0.001,0.017,0,0.037,0,0.007,0.004,0.945,0.055,0.054,0.848,0.152,16757432,9938,85387537,0,0,1877305,0,0,0,0,0,0.161,0,0.821,0,0,0.018,0,0,0,0,0
